Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, -81.35278115206543, -64.91, -16.442781152065436
2, -13.138996053498627, -26.32, 13.181003946501374
3, -103.07529983355916, -103.28, 0.2047001664408441
4, -60.371354924485544, -52.64, -7.731354924485544
5, -37.99979440886587, -32.16, -5.83979440886587
6, -30.836758702189943, -26.12, -4.716758702189942
7, -24.011007455327825, -20.32, -3.6910074553278243
8, -44.82321132047859, -36.71, -8.113211320478591
9, -18.375506138696537, 3.69, -22.065506138696538
10, -37.86713200342995, -19.55, -18.31713200342995
11, -50.8770819886035, -40.02, -10.857081988603497
12, -47.69100240805244, -26.56, -21.131002408052442
13, -12.254911760695505, -15.06, 2.805088239304496
14, 2.3472086004131807, -1.9, 4.247208600413181
15, -17.282167516609373, -16.39, -0.8921675166093728
16, -14.719598919741369, -3.11, -11.60959891974137
17, -2.562568596863371, -13.28, 10.71743140313663
18, -6.307338687459493, -10.32, 4.012661312540507
19, -12.372390319359573, -5.01, -7.362390319359573
20, -8.148632834586609, -16.84, 8.691367165413391
21, -29.37916777317426, -32.22, 2.8408322268257393
22, 13.472152755949246, 5.44, 8.032152755949244
23, -17.668160516760587, -21.74, 4.071839483239412
24, 1.2474461637967558, -2.32, 3.5674461637967556
25, -8.620545059440026, -13.26, 4.639454940559974
26, 1.09976243659859, 0.42, 0.6797624365985901
27, -17.288706165312778, -13.12, -4.168706165312779
28, -11.702641927594, -9.56, -2.142641927593999
29, -1.8412941471360333, -6.52, 4.678705852863966
30, 3.7447700905827466, -2.96, 6.7047700905827465
--,--,--,--
MD (kcal/mol), -2.2002236855548625, , 
MAD (kcal/mol), 7.47185200449932, , 
RMSD (kcal/mol), 9.418785330744376, , 
VAR (kcal/mol), 88.71351710664543, , 
STDDEV (kcal/mol), 5.734539626640042, , 
AMAX (kcal/mol), 22.065506138696538, index, 9 
AMIN (kcal/mol), 0.2047001664408441, index, 3 
