Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 3.5053068276985333, 17.7, -14.194693172301466
2, 84.85808797977288, 82.6, 2.2580879797728812
3, 52.174356169696004, 42.1, 10.074356169696003
4, 52.174356169696004, 42.1, 10.074356169696003
5, 18.984110007351063, 17.8, 1.1841100073510624
6, 18.984110007351063, 17.8, 1.1841100073510624
7, 43.78755525176642, 30.5, 13.28755525176642
8, 56.92655130527397, 56.9, 0.026551305273969206
9, 1.5816081364232855, 1.5, 0.08160813642328546
10, 104.65690796999137, 104.8, -0.14309203000863135
11, 8.585858218303676, 7.1, 1.485858218303676
12, 68.95721314278921, 59.8, 9.157213142789217
13, 2.026844306049037, -0.6, 2.626844306049037
14, 2.026844306049037, -0.6, 2.626844306049037
15, 17.762519743887072, 13.4, 4.362519743887072
16, 17.762519743887072, 13.4, 4.362519743887072
17, 6.01008807713397, 2.5, 3.51008807713397
18, 6.01008807713397, 2.5, 3.51008807713397
19, 17.733648033017662, 13.5, 4.233648033017662
20, 17.733648033017662, 13.5, 4.233648033017662
21, -12.21119568562978, -12.3, 0.08880431437022018
22, 25.788598723164743, 19.8, 5.988598723164742
23, 5.584784118388324, 3.5, 2.084784118388324
24, 36.42154282057827, 29.6, 6.821542820578266
25, -1.2657022969313725, -2.7, 1.4342977030686277
26, 22.74530515840537, 17.6, 5.1453051584053675
27, 14.71617146299598, 11.0, 3.7161714629959803
28, 59.53938278347457, 47.7, 11.83938278347457
29, 9.196121221939803, 14.6, -5.4038787780601965
30, 27.571627360636338, 10.9, 16.671627360636336
31, -1.0151289787925142, 3.2, -4.215128978792515
32, 36.85200302463744, 22.8, 14.05200302463744
33, -0.7328338017358801, 2.0, -2.73283380173588
34, 50.14424818686762, 42.0, 8.144248186867621
35, -1.0905731878402367, 6.4, -7.490573187840237
36, 46.600429220212206, 33.0, 13.600429220212206
37, 50.899872505193706, 48.1, 2.7998725051937043
38, 38.6449607444982, 33.0, 5.644960744498199
39, 3.2543319035343847, 6.1, -2.845668096465615
40, 0.9071233031212043, 8.0, -7.092876696878796
41, 0.00866214077436203, 5.2, -5.191337859225638
42, 17.29082965738356, 21.6, -4.30917034261644
43, -0.31190044653311183, 11.9, -12.211900446533113
44, 14.407698473208256, 15.0, -0.5923015267917435
45, 4.490430185972836, 6.3, -1.8095698140271637
46, 7.052998782836207, 19.5, -12.447001217163793
47, 5.596946507029531, 9.7, -4.103053492970468
48, 5.596946507029531, 9.7, -4.103053492970468
49, 4.10403306969598, 3.4, 0.70403306969598
50, 10.411371757155473, 13.7, -3.288628242844526
51, -7.760732205610341, 1.8, -9.560732205610341
52, 4.611658113713562, 6.8, -2.1883418862864374
53, 1.9558271763482, 3.5, -1.5441728236518
54, 10.10446001093481, 20.4, -10.295539989065189
55, -3.320061010890026, 1.6, -4.920061010890026
56, 26.059106762284234, 33.8, -7.740893237715763
57, 12.931509418382078, 14.4, -1.4684905816179228
58, -0.5406433375671689, 8.9, -9.440643337567169
59, -0.05560110444468294, 2.9, -2.955601104444683
60, 17.612559412315903, 24.7, -7.087440587684096
61, 9.763510895819207, 10.9, -1.136489104180793
62, 8.516064732022452, 13.2, -4.683935267977548
63, 1.1214868145598855, 3.9, -2.778513185440114
64, 9.742031873999911, 17.2, -7.457968126000088
65, 8.942191355611753, 10.4, -1.4578086443882476
66, 7.842428919013163, 9.9, -2.057571080986837
67, 2.1477434188739464, 8.9, -6.752256581126054
68, 19.436449584186725, 22.0, -2.5635504158132747
69, 4.859102042133929, 9.8, -4.940897957866071
70, 16.561743969727928, 19.4, -2.8382560302720705
71, 9.207504243804811, 11.3, -2.0924957561951896
72, 11.048798390940844, 17.8, -6.751201609059157
73, 11.512374779946482, 13.9, -2.3876252200535184
74, 7.767604689363736, 16.9, -9.132395310636262
75, 64.41033408704017, 39.7, 24.710334087040167
76, 64.41033408704017, 39.7, 24.710334087040167
--,--,--,--
MD (kcal/mol), 0.2635407085146264, , 
MAD (kcal/mol), 5.695320767245029, , 
RMSD (kcal/mol), 7.5802443075888775, , 
VAR (kcal/mol), 57.460103762733574, , 
STDDEV (kcal/mol), 5.002341963612751, , 
AMAX (kcal/mol), 24.710334087040167, index, 75 
AMIN (kcal/mol), 0.026551305273969206, index, 8 

BH6 MD (kcal/mol), -5.052246119131584, , 
BH6 MAD (kcal/mol), 5.052246119131584, , 
BH6 RMSD (kcal/mol), 6.3871572103784775, , 
BH6 VAR (kcal/mol), 40.795777230089776, , 
BH6 STDDEV (kcal/mol), 3.907759765109624, , 
