System, Energy (Hartree)
c2h4, -78.910301152
c2h5ts, -79.411390853
c2h5_34, -79.491300799
C2H5, -79.491163343
C2H6, -80.188144976
c3h7ts, -118.906579705
c3h7, -118.980842216
C5H8, -196.119014689
CH2OH, -115.465163597
ch3cl, -501.225824063
ch3fclts, -601.167382292
ch3f, -140.218398071
ch3oh, -116.151561124
ch3, -39.994540614
CH4, -40.700424207
clch3clcomp, -962.430141518
clch3clts, -962.401881151
clf, -561.186524114
cl-, -461.185634773
cl, -461.058874535
co, -113.650295477
f2, -200.096007367
fch3clcomp1, -601.371836016
fch3clcomp2, -601.420977519
fch3clts, -601.362936096
fch3fcomp, -240.36112672
fch3fts, -240.332820343
f-, -100.117652254
f, -100.015472533
H2O, -76.67902023
H2S, -400.257586141
H2, -1.182348275
hch3clts, -501.706901695
hclhts, -462.21471022
hcl, -461.745041469
hcnts, -93.644237327
hcn, -93.725351437
hcots, -114.151835044
hco, -114.210562449
hf2ts, -200.59340877
hfch3ts, -140.648540016
hfhts, -101.161494363
hf, -100.744717636
hn2ts, -110.343410062
hn2, -110.387348247
hnc, -93.705821992
hoch3fcomp1, -216.327848473
hoch3fcomp2, -216.256418139
hoch3fts, -216.232966427
HS, -399.588897435
h, -0.499921856
N2H2, -111.023901026
N2H, -110.387040052
n2ohts, -185.691966111
n2o, -185.197630317
n2, -109.858143158
NH2, -56.073342514
NH3, -56.773258436
NH, -55.395010228
oh-, -76.012551331
oh, -75.969052924
O, -75.284638573
PH2, -343.274469231
PH3, -343.928739644
RKT01, -462.239777217
RKT02, -77.151387395
RKT03, -41.177385934
RKT04, -116.662321175
RKT05, -116.637226479
RKT06, -1.673350829
RKT07, -132.735771167
RKT08, -501.751949597
RKT09, -156.154081091
RKT10, -101.203111662
RKT11, -115.964455108
RKT12, -344.428750106
RKT13, -462.214323184
RKT14, -76.453415635
RKT15, -111.519529792
RKT16, -400.755720794
RKT17, -537.015429753
RKT18, -96.064460481
RKT19, -135.556762385
RKT20, -136.246814398
RKT21, -96.755420584
RKT22, -196.016370288
