Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, -89.94142676741154, -64.91, -25.031426767411546
2, -13.100563608240398, -26.32, 13.219436391759603
3, -98.4296815345577, -103.28, 4.8503184654422995
4, -57.00660519893841, -52.64, -4.366605198938409
5, -40.142356482022954, -32.16, -7.982356482022958
6, -33.57228208780412, -26.12, -7.452282087804118
7, -21.302488939923837, -20.32, -0.9824889399238366
8, -40.13619496647109, -36.71, -3.426194966471087
9, -9.624498722036064, 3.69, -13.314498722036063
10, -28.158489908512003, -19.55, -8.608489908512002
11, -44.66774961334141, -40.02, -4.647749613341404
12, -38.55848052632436, -26.56, -11.99848052632436
13, -12.477179381463756, -15.06, 2.5828206185362443
14, -0.6714470599253372, -1.9, 1.2285529400746626
15, -8.47899962992102, -16.39, 7.91100037007898
16, -11.64761499429648, -3.11, -8.537614994296481
17, 3.1686153643711776, -13.28, 16.44861536437118
18, -4.389159569493254, -10.32, 5.930840430506747
19, -12.319062054244286, -5.01, -7.309062054244286
20, -1.5753305316514765, -16.84, 15.264669468348524
21, -17.886679395945926, -32.22, 14.333320604054073
22, 15.066930433704188, 5.44, 9.626930433704189
23, -18.52151441559872, -21.74, 3.2184855844012787
24, -3.419315439411991, -2.32, -1.099315439411991
25, -9.603073666049552, -13.26, 3.656926333950448
26, 2.7478683794599013, 0.42, 2.3278683794599013
27, -17.031362019968196, -13.12, -3.9113620199681964
28, -12.287416123941082, -9.56, -2.7274161239410812
29, 2.8138290378506947, -6.52, 9.333829037850695
30, 7.557774933873349, -2.96, 10.517774933873348
--,--,--,--
MD (kcal/mol), 0.3018681837254786, , 
MAD (kcal/mol), 7.728224440035334, , 
RMSD (kcal/mol), 9.447409520954489, , 
VAR (kcal/mol), 89.25354665662154, , 
STDDEV (kcal/mol), 5.433975861288131, , 
AMAX (kcal/mol), 25.031426767411546, index, 1 
AMIN (kcal/mol), 0.9824889399238366, index, 7 
