Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 7.247994841852416, 17.7, -10.452005158147584
2, 97.18942160927287, 82.6, 14.589421609272875
3, 55.32925229443535, 42.1, 13.229252294435348
4, 55.32925229443535, 42.1, 13.229252294435348
5, 23.92223180750412, 17.8, 6.122231807504118
6, 23.92223180750412, 17.8, 6.122231807504118
7, 45.464841012734595, 30.5, 14.964841012734595
8, 58.565404620974995, 56.9, 1.6654046209749964
9, 4.072847103864174, 1.5, 2.5728471038641736
10, 102.50252863843971, 104.8, -2.2974713615602838
11, 9.916153202841363, 7.1, 2.816153202841363
12, 66.92275840181544, 59.8, 7.122758401815446
13, 3.9478635318846473, -0.6, 4.547863531884647
14, 3.9478635318846473, -0.6, 4.547863531884647
15, 16.872434578006413, 13.4, 3.4724345780064123
16, 16.872434578006413, 13.4, 3.4724345780064123
17, 5.48859570114725, 2.5, 2.9885957011472497
18, 5.48859570114725, 2.5, 2.9885957011472497
19, 14.649512386554042, 13.5, 1.1495123865540418
20, 14.649512386554042, 13.5, 1.1495123865540418
21, -11.389899363312688, -12.3, 0.9101006366873126
22, 28.752457118692426, 19.8, 8.952457118692426
23, 3.900647836493478, 3.5, 0.4006478364934778
24, 37.472929924297596, 29.6, 7.872929924297594
25, 1.064821454057575, -2.7, 3.764821454057575
26, 22.36731039397249, 17.6, 4.76731039397249
27, 13.941828537065902, 11.0, 2.941828537065902
28, 54.07802350353699, 47.7, 6.378023503536987
29, 14.453754531058006, 14.6, -0.1462454689419932
30, 24.07825325309407, 10.9, 13.178253253094068
31, 2.938947524384995, 3.2, -0.261052475615005
32, 31.097437432897, 22.8, 8.297437432896999
33, 3.088715210560493, 2.0, 1.0887152105604931
34, 47.756464823901894, 42.0, 5.756464823901894
35, 3.354573404449318, 6.4, -3.0454265955506825
36, 41.91305393077368, 33.0, 8.913053930773678
37, 47.981281388146215, 48.1, -0.11871861185378663
38, 35.50410200668246, 33.0, 2.5041020066824586
39, 8.408834658089587, 6.1, 2.3088346580895873
40, 9.080281718014925, 8.0, 1.0802817180149251
41, 8.312820060971605, 5.2, 3.112820060971605
42, 16.79181969089245, 21.6, -4.808180309107552
43, 5.326931690381197, 11.9, -6.573068309618804
44, 16.97454668467768, 15.0, 1.97454668467768
45, 12.382782503774457, 6.3, 6.082782503774458
46, 9.214167139398821, 19.5, -10.285832860601179
47, 9.957190439971368, 9.7, 0.25719043997136914
48, 9.957190439971368, 9.7, 0.25719043997136914
49, 11.668491606993301, 3.4, 8.268491606993301
50, 16.057651176486555, 13.7, 2.3576511764865558
51, -2.694159216091324, 1.8, -4.494159216091324
52, 9.624902838152963, 6.8, 2.824902838152963
53, 9.860461737078618, 3.5, 6.360461737078618
54, 11.43579226873901, 20.4, -8.964207731260988
55, 3.663330028520317, 1.6, 2.063330028520317
56, 21.550009424466243, 33.8, -12.249990575533754
57, 19.80248025298258, 14.4, 5.4024802529825795
58, 4.735549819269474, 8.9, -4.164450180730526
59, 3.486568767283457, 2.9, 0.586568767283457
60, 22.008083182882178, 24.7, -2.6919168171178214
61, 12.973965454382048, 10.9, 2.073965454382048
62, 16.39328089379404, 13.2, 3.1932808937940393
63, 5.252081105304752, 3.9, 1.3520811053047521
64, 14.855154771354304, 17.2, -2.3448452286456956
65, 16.053884237125335, 10.4, 5.653884237125334
66, 13.306015857665432, 9.9, 3.406015857665432
67, 7.51017143767092, 8.9, -1.3898285623290807
68, 24.541533457639115, 22.0, 2.5415334576391153
69, 10.112367257822982, 9.8, 0.3123672578229808
70, 22.399783381759605, 19.4, 2.999783381759606
71, 16.57847901988749, 11.3, 5.278479019887488
72, 13.76464998204571, 17.8, -4.03535001795429
73, 18.491857062838275, 13.9, 4.591857062838274
74, 10.934082128964924, 16.9, -5.965917871035074
75, 68.98058096807216, 39.7, 29.280580968072158
76, 68.98058096807216, 39.7, 29.280580968072158
--,--,--,--
MD (kcal/mol), 3.0406661557752273, , 
MAD (kcal/mol), 5.258788980819841, , 
RMSD (kcal/mol), 7.513795061930754, , 
VAR (kcal/mol), 56.45711623269498, , 
STDDEV (kcal/mol), 5.36677321003066, , 
AMAX (kcal/mol), 29.280580968072158, index, 75 
AMIN (kcal/mol), 0.11871861185378663, index, 37 

BH6 MD (kcal/mol), 0.011905311334737082, , 
BH6 MAD (kcal/mol), 4.222131341083695, , 
BH6 RMSD (kcal/mol), 5.238056233927373, , 
BH6 VAR (kcal/mol), 27.437233109785414, , 
BH6 STDDEV (kcal/mol), 3.1001354887204875, , 
