System, Energy (Hartree)
c2h4, -78.516417833
c2h5ts, -79.011417508
c2h5_34, -79.087522279
C2H5, -79.087496837
C2H6, -79.762242634
c3h7ts, -118.306587965
c3h7, -118.373380668
C5H8, -195.142346099
CH2OH, -114.943728377
ch3cl, -499.693432208
ch3fclts, -599.246255451
ch3f, -139.602342751
ch3oh, -115.610047844
ch3, -39.795515985
CH4, -40.477821741
clch3clcomp, -959.563180197
clch3clts, -959.539834713
clf, -559.466541862
cl-, -459.855149139
cl, -459.750560904
co, -113.18039543
f2, -199.306223522
fch3clcomp1, -599.417888011
fch3clcomp2, -599.471388848
fch3clts, -599.411671933
fch3fcomp, -239.323028131
fch3fts, -239.296140195
f-, -99.700088765
f, -99.635377361
H2O, -76.338016319
H2S, -399.051817415
H2, -1.163665956
hch3clts, -500.169721061
hclhts, -460.875034338
hcl, -460.413234985
hcnts, -93.238670635
hcn, -93.315133674
hcots, -113.675633775
hco, -113.725190696
hf2ts, -199.799654883
hfch3ts, -140.029811771
hfhts, -100.739374779
hf, -100.327625699
hn2ts, -109.879768778
hn2, -109.918139917
hnc, -93.295250023
hoch3fcomp1, -215.360670847
hoch3fcomp2, -215.296709749
hoch3fts, -215.274492031
HS, -398.403376787
h, -0.499921856
N2H2, -110.534773889
N2H, -109.918021413
n2ohts, -184.908759317
n2o, -184.420387876
n2, -109.402880446
NH2, -55.82660701
NH3, -56.496868685
NH, -55.171442457
oh-, -75.673846181
oh, -75.660760073
O, -75.002464999
PH2, -342.207038857
PH3, -342.841267045
RKT01, -460.89975651
RKT02, -76.811178707
RKT03, -40.950692935
RKT04, -116.118848594
RKT05, -116.08984112
RKT06, -1.647720019
RKT07, -132.139033833
RKT08, -500.213044386
RKT09, -155.407289061
RKT10, -100.793205429
RKT11, -115.448729479
RKT12, -343.3356327
RKT13, -460.874799135
RKT14, -76.140006599
RKT15, -111.02420977
RKT16, -399.543369547
RKT17, -535.390116491
RKT18, -95.610154775
RKT19, -134.897988764
RKT20, -135.562430156
RKT21, -96.274960101
RKT22, -195.032418546
