Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, -87.70788648817735, -64.91, -22.797886488177355
2, -23.814502863500326, -26.32, 2.505497136499674
3, -108.38884360929366, -103.28, -5.1088436092936576
4, -53.344279185606155, -52.64, -0.7042791856061541
5, -40.845976580195355, -32.16, -8.685976580195359
6, -32.69264746470866, -26.12, -6.5726474647086555
7, -21.382157542752697, -20.32, -1.062157542752697
8, -40.06430497108426, -36.71, -3.354304971084261
9, -6.874750324152243, 3.69, -10.564750324152243
10, -26.88596972114931, -19.55, -7.335969721149308
11, -48.89300119818556, -40.02, -8.873001198185555
12, -33.18674340448301, -26.56, -6.626743404483012
13, -12.729132592923179, -15.06, 2.3308674070768216
14, -2.21187865220748, -1.9, -0.3118786522074801
15, -5.137103799384033, -16.39, 11.252896200615968
16, -2.8618592405092653, -3.11, 0.24814075949073455
17, -2.2752445588710755, -13.28, 11.004755441128925
18, -5.305239315367653, -10.32, 5.014760684632347
19, -5.0737378927204375, -5.01, -0.06373789272043773
20, -6.616483112372964, -16.84, 10.223516887627035
21, -16.142325422405133, -32.22, 16.077674577594866
22, 7.429868422767022, 5.44, 1.9898684227670218
23, -22.27496484474229, -21.74, -0.5349648447422908
24, -4.568009182254064, -2.32, -2.2480091822540644
25, -13.54079476226513, -13.26, -0.28079476226512945
26, 2.356130530028749, 0.42, 1.9361305300287492
27, -11.34509895194212, -13.12, 1.7749010480578793
28, -7.00386039844469, -9.56, 2.5561396015553104
29, -1.3112437970008515, -6.52, 5.208756202999148
30, 3.0299947565054954, -2.96, 5.989994756505496
--,--,--,--
MD (kcal/mol), -0.2337348722465902, , 
MAD (kcal/mol), 5.441328182685255, , 
RMSD (kcal/mol), 7.525572188793049, , 
VAR (kcal/mol), 56.6342367687354, , 
STDDEV (kcal/mol), 5.198671404989026, , 
AMAX (kcal/mol), 22.797886488177355, index, 1 
AMIN (kcal/mol), 0.06373789272043773, index, 19 
