System, Energy (Hartree)
c2h4, -78.481915747
c2h5ts, -78.984572679
c2h5_34, -79.059753542
C2H5, -79.058980656
C2H6, -79.725840191
c3h7ts, -118.265728903
c3h7, -118.324050984
C5H8, -195.050135865
CH2OH, -114.910023103
ch3cl, -499.644598199
ch3fclts, -599.18742678
ch3f, -139.565336558
ch3oh, -115.569919798
ch3, -39.789248795
CH4, -40.463026534
clch3clcomp, -959.499693541
clch3clts, -959.478303981
clf, -559.411123679
cl-, -459.837668496
cl, -459.720045436
co, -113.14827051
f2, -199.26032889
fch3clcomp1, -599.365597827
fch3clcomp2, -599.417696877
fch3clts, -599.36197578
fch3fcomp, -239.281553008
fch3fts, -239.256345159
f-, -99.693314648
f, -99.619018918
H2O, -76.321501578
H2S, -399.023387918
H2, -1.169138914
hch3clts, -500.12783812
hclhts, -460.854591003
hcl, -460.385737659
hcnts, -93.209121383
hcn, -93.284385953
hcots, -113.648181396
hco, -113.691037868
hf2ts, -199.762277551
hfch3ts, -140.005971015
hfhts, -100.734469715
hf, -100.313960427
hn2ts, -109.848771603
hn2, -109.8788512
hnc, -93.264100789
hoch3fcomp1, -215.315563073
hoch3fcomp2, -215.251716539
hoch3fts, -215.231616177
HS, -398.375749472
h, -0.499921838
N2H2, -110.487913127
N2H, -109.878284732
n2ohts, -184.851945771
n2o, -184.372378504
n2, -109.36797375
NH2, -55.811051261
NH3, -56.480000396
NH, -55.155353088
oh-, -75.663823251
oh, -75.644098006
O, -74.982160516
PH2, -342.181733579
PH3, -342.815453239
RKT01, -460.877296189
RKT02, -76.799386758
RKT03, -40.943051775
RKT04, -116.087646069
RKT05, -116.056729932
RKT06, -1.657914186
RKT07, -132.107123779
RKT08, -500.175335229
RKT09, -155.354926454
RKT10, -100.782163679
RKT11, -115.418959181
RKT12, -343.314018637
RKT13, -460.854419829
RKT14, -76.126581203
RKT15, -110.983595562
RKT16, -399.520344903
RKT17, -535.346510592
RKT18, -95.583639322
RKT19, -134.852115363
RKT20, -135.51220674
RKT21, -96.245691607
RKT22, -194.960181554
