Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, -89.89484422911649, -64.91, -24.98484422911649
2, -22.494125038628454, -26.32, 3.8258749613715466
3, -109.03054421012833, -103.28, -5.750544210128325
4, -54.343048992344855, -52.64, -1.7030489923448542
5, -42.13123144476813, -32.16, -9.971231444768136
6, -33.56313488219961, -26.12, -7.443134882199612
7, -21.200490412483287, -20.32, -0.8804904124832866
8, -39.90113117251908, -36.71, -3.1911311725190785
9, -8.18975164789595, 3.69, -11.879751647895949
10, -27.90789776510966, -19.55, -8.357897765109659
11, -50.33671350018558, -40.02, -10.316713500185578
12, -34.72196290303916, -26.56, -8.161962903039164
13, -12.432870309991841, -15.06, 2.627129690008159
14, -2.883855957595328, -1.9, -0.9838559575953281
15, -4.103449485894778, -16.39, 12.286550514105222
16, -2.5321877256671184, -3.11, 0.5778122743328815
17, -1.571261760223863, -13.28, 11.708738239776137
18, -4.995572802573152, -10.32, 5.324427197426848
19, -5.416043683275161, -5.01, -0.40604368327516127
20, -5.865500481620438, -16.84, 10.974499518379563
21, -14.7876924828172, -32.22, 17.4323075171828
22, 7.045713397841467, 5.44, 1.605713397841467
23, -21.64230038036403, -21.74, 0.09769961963596785
24, -4.513525672170552, -2.32, -2.193525672170552
25, -13.608802984063193, -13.26, -0.34880298406319277
26, 1.6296697145841412, 0.42, 1.2096697145841413
27, -10.710202436351496, -13.12, 2.409797563648503
28, -6.41596371495938, -9.56, 3.1440362850406203
29, -0.8699276790562026, -6.52, 5.650072320943797
30, 3.424311042335913, -2.96, 6.384311042335913
--,--,--,--
MD (kcal/mol), -0.3771446533426931, , 
MAD (kcal/mol), 6.061053977116931, , 
RMSD (kcal/mol), 8.30887974666408, , 
VAR (kcal/mol), 69.03748264452453, , 
STDDEV (kcal/mol), 5.683406314086612, , 
AMAX (kcal/mol), 24.98484422911649, index, 1 
AMIN (kcal/mol), 0.09769961963596785, index, 23 
