Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 10.76392289492721, 17.7, -6.936077105072789
2, 100.65876712403478, 82.6, 18.058767124034787
3, 49.10488228214103, 42.1, 7.0048822821410255
4, 49.10488228214103, 42.1, 7.0048822821410255
5, 18.85774277695369, 17.8, 1.0577427769536882
6, 18.85774277695369, 17.8, 1.0577427769536882
7, 37.72406047085986, 30.5, 7.224060470859861
8, 60.2181855094794, 56.9, 3.318185509479399
9, -4.635292630591869, 1.5, -6.135292630591869
10, 104.39525157951861, 104.8, -0.4047484204813827
11, 6.273360932020799, 7.1, -0.8266390679792011
12, 60.616409924329986, 59.8, 0.8164099243299887
13, 0.9406894124089459, -0.6, 1.5406894124089459
14, 0.9406894124089459, -0.6, 1.5406894124089459
15, 15.650955383757502, 13.4, 2.2509553837575016
16, 15.650955383757502, 13.4, 2.2509553837575016
17, 0.9743609432435479, 2.5, -1.525639056756452
18, 0.9743609432435479, 2.5, -1.525639056756452
19, 12.396804830451604, 13.5, -1.1031951695483961
20, 12.396804830451604, 13.5, -1.1031951695483961
21, -16.562982045935748, -12.3, -4.262982045935747
22, 25.568249398832386, 19.8, 5.768249398832385
23, 1.5019909894067645, 3.5, -1.9980090105932355
24, 35.06512587160638, 29.6, 5.465125871606375
25, -2.175128559847963, -2.7, 0.5248714401520371
26, 19.025361852635324, 17.6, 1.425361852635323
27, 12.380156376611088, 11.0, 1.3801563766110885
28, 52.28128754913017, 47.7, 4.581287549130167
29, 10.620176162142826, 14.6, -3.9798238378571735
30, 18.809927810038776, 10.9, 7.909927810038775
31, -0.6237350045816009, 3.2, -3.823735004581601
32, 27.28416276052806, 22.8, 4.484162760528058
33, -2.917792297480444, 2.0, -4.917792297480444
34, 47.418921202705135, 42.0, 5.418921202705135
35, 1.6506178633355384, 6.4, -4.749382136664462
36, 36.372580766374696, 33.0, 3.3725807663746963
37, 47.407641719914146, 48.1, -0.6923582800858554
38, 34.974771409922305, 33.0, 1.9747714099223046
39, 3.6699966891714833, 6.1, -2.4300033108285164
40, 6.553852646766812, 8.0, -1.4461473532331883
41, 7.852073112153332, 5.2, 2.6520731121533316
42, 11.955522598048772, 21.6, -9.64447740195123
43, 9.139248783289284, 11.9, -2.760751216710716
44, 11.671436508956404, 15.0, -3.328563491043596
45, 11.096059894493969, 6.3, 4.796059894493969
46, 12.667321654713374, 19.5, -6.8326783452866255
47, 6.867299904173453, 9.7, -2.8327000958265467
48, 6.867299904173453, 9.7, -2.8327000958265467
49, 9.350764029214867, 3.4, 5.9507640292148665
50, 14.346336831788019, 13.7, 0.6463368317880196
51, -0.5743958171506872, 1.8, -2.3743958171506874
52, 4.8416478661244735, 6.8, -1.9583521338755263
53, 8.345476909007472, 3.5, 4.845476909007472
54, 14.210977390627908, 20.4, -6.18902260937209
55, 3.317235335719688, 1.6, 1.7172353357196881
56, 18.104927818536886, 33.8, -15.695072181463111
57, 15.699077830308937, 14.4, 1.2990778303089368
58, 8.653364432467471, 8.9, -0.2466355675325289
59, 0.7549039374622597, 2.9, -2.14509606253774
60, 22.39720431782629, 24.7, -2.3027956821737092
61, 11.064689440857066, 10.9, 0.1646894408570656
62, 15.578215113027618, 13.2, 2.3782151130276183
63, 1.6368810534421008, 3.9, -2.263118946557899
64, 15.245684037505294, 17.2, -1.9543159624947055
65, 13.347753395300511, 10.4, 2.947753395300511
66, 11.71808368071637, 9.9, 1.81808368071637
67, 10.14060769418951, 8.9, 1.2406076941895101
68, 20.850810130541007, 22.0, -1.1491898694589935
69, 10.9611666928916, 9.8, 1.1611666928915998
70, 17.377130407842063, 19.4, -2.022869592157935
71, 14.446656143888633, 11.3, 3.1466561438886327
72, 15.316583822944835, 17.8, -2.4834161770551653
73, 16.682013063037797, 13.9, 2.7820130630377964
74, 13.257702020701885, 16.9, -3.642297979298114
75, 56.79376402546245, 39.7, 17.09376402546245
76, 56.79376402546245, 39.7, 17.09376402546245
--,--,--,--
MD (kcal/mol), 0.613763265967294, , 
MAD (kcal/mol), 3.785318744434892, , 
RMSD (kcal/mol), 5.3204138903217455, , 
VAR (kcal/mol), 28.306803964328573, , 
STDDEV (kcal/mol), 3.738738552955853, , 
AMAX (kcal/mol), 18.058767124034787, index, 2 
AMIN (kcal/mol), 0.1646894408570656, index, 61 

BH6 MD (kcal/mol), -0.6185248009934295, , 
BH6 MAD (kcal/mol), 3.064846283786314, , 
BH6 RMSD (kcal/mol), 3.748594667005579, , 
BH6 VAR (kcal/mol), 14.051961977502666, , 
BH6 STDDEV (kcal/mol), 2.1583973763567927, , 
