System, Energy (Hartree)
c2h4, -78.492262846
c2h5ts, -78.996834484
c2h5_34, -79.072401345
C2H5, -79.071642281
C2H6, -79.73805135
c3h7ts, -118.285166757
c3h7, -118.343130154
C5H8, -195.077832312
CH2OH, -114.926480819
ch3cl, -499.718448767
ch3fclts, -599.278545401
ch3f, -139.586701929
ch3oh, -115.587065147
ch3, -39.795534338
CH4, -40.468786712
clch3clcomp, -959.641985268
clch3clts, -959.622229702
clf, -559.4930083
cl-, -459.905333678
cl, -459.78844187
co, -113.161667224
f2, -199.287416366
fch3clcomp1, -599.453683583
fch3clcomp2, -599.507169843
fch3clts, -599.451290008
fch3fcomp, -239.316590679
fch3fts, -239.291649294
f-, -99.706446449
f, -99.634153337
H2O, -76.330903494
H2S, -399.083181436
H2, -1.169138916
hch3clts, -500.203500804
hclhts, -460.922933343
hcl, -460.453063229
hcnts, -93.218846301
hcn, -93.294395187
hcots, -113.662583049
hco, -113.70606313
hf2ts, -199.794725015
hfch3ts, -140.026506652
hfhts, -100.74860433
hf, -100.326936101
hn2ts, -109.862241471
hn2, -109.892216999
hnc, -93.274582147
hoch3fcomp1, -215.346508287
hoch3fcomp2, -215.282921787
hoch3fts, -215.263192752
HS, -398.435651368
h, -0.49992184
N2H2, -110.500215252
N2H, -109.891632926
n2ohts, -184.873981158
n2o, -184.391212721
n2, -109.379243959
NH2, -55.818722076
NH3, -56.486517463
NH, -55.162537496
oh-, -75.673024535
oh, -75.655147155
O, -74.99312284
PH2, -342.234381145
PH3, -342.86910902
RKT01, -460.947136557
RKT02, -76.811772996
RKT03, -40.950108934
RKT04, -116.10625117
RKT05, -116.074210942
RKT06, -1.658117017
RKT07, -132.126763227
RKT08, -500.249512925
RKT09, -155.379899141
RKT10, -100.798005902
RKT11, -115.436891479
RKT12, -343.367827844
RKT13, -460.922758739
RKT14, -76.13743629
RKT15, -110.996579706
RKT16, -399.58049474
RKT17, -535.42491507
RKT18, -95.598096327
RKT19, -134.872896626
RKT20, -135.533751214
RKT21, -96.260924308
RKT22, -194.987325688
