Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 27.758206060603076, 17.7, 10.058206060603077
2, 124.05119139319791, 82.6, 41.45119139319792
3, 57.44628272342105, 42.1, 15.346282723421048
4, 57.44628272342105, 42.1, 15.346282723421048
5, 31.534892232696723, 17.8, 13.734892232696723
6, 31.534892232696723, 17.8, 13.734892232696723
7, 47.063073578863914, 30.5, 16.563073578863914
8, 73.512763219448, 56.9, 16.612763219448006
9, -9.546433662901974, 1.5, -11.046433662901974
10, 123.28374470472079, 104.8, 18.48374470472079
11, 16.17939746904787, 7.1, 9.079397469047871
12, 78.8381473742851, 59.8, 19.038147374285103
13, 8.437585346126397, -0.6, 9.037585346126397
14, 8.437585346126397, -0.6, 9.037585346126397
15, 20.117740587087756, 13.4, 6.717740587087755
16, 20.117740587087756, 13.4, 6.717740587087755
17, 7.904979701585928, 2.5, 5.404979701585928
18, 7.904979701585928, 2.5, 5.404979701585928
19, 16.44086127063497, 13.5, 2.9408612706349686
20, 16.44086127063497, 13.5, 2.9408612706349686
21, -10.1328074688654, -12.3, 2.167192531134601
22, 34.374941631765836, 19.8, 14.574941631765835
23, 3.95944480931551, 3.5, 0.4594448093155101
24, 41.48471163384701, 29.6, 11.884711633847012
25, 7.6504191379233095, -2.7, 10.35041913792331
26, 28.583823437695745, 17.6, 10.983823437695744
27, 19.038257157641617, 11.0, 8.038257157641617
28, 53.6800936132001, 47.7, 5.980093613200097
29, 22.86958751464559, 14.6, 8.269587514645591
30, 13.569098588252503, 10.9, 2.6690985882525027
31, 9.033447154924332, 3.2, 5.833447154924332
32, 17.348827718923452, 22.8, -5.451172281076548
33, 4.040053671142737, 2.0, 2.0400536711427373
34, 44.250881875755425, 42.0, 2.250881875755425
35, 12.078775778736025, 6.4, 5.678775778736025
36, 32.98037136347505, 33.0, -0.019628636524949172
37, 47.37750129193077, 48.1, -0.7224987080692316
38, 37.628601859947224, 33.0, 4.628601859947224
39, 13.408779104680011, 6.1, 7.308779104680012
40, 20.497938365063145, 8.0, 12.497938365063145
41, 21.17561098433534, 5.2, 15.97561098433534
42, 24.839923928180372, 21.6, 3.239923928180371
43, 22.078212929954876, 11.9, 10.178212929954876
44, 23.52392135747797, 15.0, 8.52392135747797
45, 26.64485810200108, 6.3, 20.34485810200108
46, 28.8634626183141, 19.5, 9.363462618314099
47, 17.606010587540055, 9.7, 7.906010587540056
48, 17.606010587540055, 9.7, 7.906010587540056
49, 28.074608260538014, 3.4, 24.674608260538015
50, 32.254831944035786, 13.7, 18.554831944035787
51, 12.593298355996177, 1.8, 10.793298355996177
52, 21.128166043898123, 6.8, 14.328166043898122
53, 23.533211473255793, 3.5, 20.033211473255793
54, 28.288822753232854, 20.4, 7.888822753232855
55, 13.14539213478876, 1.6, 11.545392134788761
56, 26.344244368189745, 33.8, -7.455755631810252
57, 35.756754842571866, 14.4, 21.356754842571867
58, 18.95489146008972, 8.9, 10.054891460089719
59, 10.245234349729909, 2.9, 7.345234349729909
60, 30.562414101338387, 24.7, 5.862414101338388
61, 17.39287044036494, 10.9, 6.492870440364941
62, 32.749025395319364, 13.2, 19.549025395319365
63, 11.787315135967564, 3.9, 7.8873151359675635
64, 27.34502624586177, 17.2, 10.145026245861771
65, 32.66276418873122, 10.4, 22.262764188731218
66, 24.395768494142093, 9.9, 14.495768494142093
67, 20.709431197875574, 8.9, 11.809431197875574
68, 39.529645401042764, 22.0, 17.529645401042764
69, 21.723105079917318, 9.8, 11.923105079917317
70, 38.0063125194383, 19.4, 18.606312519438305
71, 30.26958429238861, 11.3, 18.96958429238861
72, 30.8449718888679, 17.8, 13.044971888867899
73, 32.12591391724192, 13.9, 18.22591391724192
74, 30.16429475006608, 16.9, 13.264294750066082
75, 58.842500598210364, 39.7, 19.14250059821036
76, 58.842500598210364, 39.7, 19.14250059821036
--,--,--,--
MD (kcal/mol), 10.617610966145074, , 
MAD (kcal/mol), 11.26749225352357, , 
RMSD (kcal/mol), 6.833572349968567, , 
AMAX (kcal/mol), 41.45119139319792, index, 2 
AMIN (kcal/mol), 0.019628636524949172, index, 36 
