System, Energy (Hartree)
C2H5, -78.63347656999207
C2H6, -79.26525124133134
C5H8, -194.04004050575062
CH2OH, -114.47320705634402
CH4, -40.216253011050235
H2, -1.1334620874057368
H2O, -76.06602045394781
H2S, -398.7182389490942
HS, -398.1095179739487
N2H, -109.47678788490758
N2H2, -110.04861821238842
NH, -54.98555928655534
NH2, -55.59138501510961
NH3, -56.22407662494983
O, -74.81762505831216
PH2, -341.89149981333645
PH3, -342.4926360924121
RKT01, -460.5899760976224
RKT02, -76.5263838369341
RKT03, -40.67871357762513
RKT04, -115.60045896050909
RKT05, -115.56786581863597
RKT06, -1.6053534450914362
RKT07, -131.60600412250056
RKT08, -499.6717626895319
RKT09, -154.65441591533119
RKT10, -100.52659893737206
RKT11, -114.97689605343992
RKT12, -342.97625759369254
RKT13, -460.5610902976825
RKT14, -75.89889825176658
RKT15, -110.5325124195747
RKT16, -399.1994029882167
RKT17, -534.8769696561552
RKT18, -95.13881779786506
RKT19, -134.1902436136163
RKT20, -134.8083986033958
RKT21, -95.75644212355581
RKT22, -193.94626901220295
c2h4, -78.06946060184228
c2h5_34, -78.63348895694699
c2h5ts, -78.56297068797292
c3h7, -117.68320477670021
c3h7ts, -117.63064720948145
ch3, -39.580435362085105
ch3cl, -499.15493306277324
ch3f, -139.10696961878125
ch3fclts, -598.4705125880486
ch3oh, -115.09990923223876
cl, -459.4891795542639
cl-, -459.5763531508618
clch3clcomp, -958.744889006775
clch3clts, -958.7186888266181
clf, -558.9158607370302
co, -112.78886391363666
f, -99.41408536577067
f-, -99.45746209391686
f2, -198.77109152269452
fch3clcomp1, -598.6348525901802
fch3clcomp2, -598.6946529093397
fch3clts, -598.6285428132398
fch3fcomp, -238.58304522488197
fch3fts, -238.5509855645603
h, -0.49994832146911933
hch3clts, -499.62070692643016
hcl, -460.11139602581153
hclhts, -460.56109029768277
hcn, -92.91458108402153
hcnts, -92.8390802298509
hco, -113.3020636375271
hcots, -113.27441652073284
hf, -100.06863284160164
hf2ts, -199.28625305457317
hfch3ts, -139.5319181585353
hfhts, -100.4770346843356
hn2, -109.47680003180695
hn2ts, -109.45517629678922
hnc, -92.89904522387131
hoch3fcomp1, -214.59736477838672
hoch3fcomp2, -214.54215949800863
hoch3fts, -214.51182010403204
n2, -108.99167298286169
n2o, -183.76493925516777
n2ohts, -184.22065205955238
oh, -75.42666723363592
oh-, -75.41704220418754
