Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 17.618961898909387, 17.7, -0.08103810109061271
2, 56.00366790694593, 82.6, -26.596332093054066
3, 22.977496344223038, 42.1, -19.122503655776963
4, 22.977496344223038, 42.1, -19.122503655776963
5, 8.674239738370373, 17.8, -9.125760261629628
6, 8.674239738370373, 17.8, -9.125760261629628
7, 20.79203416569679, 30.5, -9.70796583430321
8, 43.34219034839254, 56.9, -13.557809651607457
9, 28.95613247945679, 1.5, 27.45613247945679
10, 117.47128611307936, 104.8, 12.671286113079361
11, 12.550906083141344, 7.1, 5.450906083141344
12, 62.26100238505279, 59.8, 2.461002385052794
13, 0.10125818516753464, -0.6, 0.7012581851675346
14, 0.10125818516753464, -0.6, 0.7012581851675346
15, 14.352999041046342, 13.4, 0.9529990410463416
16, 14.352999041046342, 13.4, 0.9529990410463416
17, 3.315322241721772, 2.5, 0.815322241721772
18, 3.315322241721772, 2.5, 0.815322241721772
19, 14.43479635737384, 13.5, 0.9347963573738394
20, 14.43479635737384, 13.5, 0.9347963573738394
21, -11.902787116051542, -12.3, 0.397212883948459
22, 20.868856553507744, 19.8, 1.068856553507743
23, 4.473584494849621, 3.5, 0.9735844948496206
24, 30.618833243042808, 29.6, 1.0188332430428062
25, -2.452417276611391, -2.7, 0.24758272338860898
26, 18.219087986870072, 17.6, 0.6190879868700705
27, 11.702972186846246, 11.0, 0.702972186846246
28, 55.225030512954454, 47.7, 7.5250305129544515
29, 11.18151678661228, 14.6, -3.41848321338772
30, 10.781657926325476, 10.9, -0.11834207367452443
31, -1.7199594116493053, 3.2, -4.919959411649305
32, 29.051553234857124, 22.8, 6.251553234857123
33, 3.9955325071678187, 2.0, 1.9955325071678187
34, 47.24666792978353, 42.0, 5.246667929783527
35, 7.699848053912788, 6.4, 1.299848053912788
36, 43.356511363950396, 33.0, 10.356511363950396
37, 47.362978796383445, 48.1, -0.7370212036165569
38, 33.48315500560174, 33.0, 0.48315500560173774
39, 1.990021470836806, 6.1, -4.109978529163193
40, -5.36708553465432, 8.0, -13.36708553465432
41, -6.614902938281061, 5.2, -11.814902938281062
42, 22.72599993304927, 21.6, 1.1259999330492683
43, -0.14399980990988337, 11.9, -12.043999809909884
44, 8.918114499260122, 15.0, -6.081885500739878
45, -6.385754886348759, 6.3, -12.685754886348759
46, 13.893033675811564, 19.5, -5.606966324188436
47, 0.5030144855829476, 9.7, -9.196985514417051
48, 0.5030144855829476, 9.7, -9.196985514417051
49, -9.08622972443316, 3.4, -12.48622972443316
50, 3.761997567936228, 13.7, -9.938002432063772
51, -7.892570762233294, 1.8, -9.692570762233295
52, -6.18756345854602, 6.8, -12.98756345854602
53, -7.58264318139888, 3.5, -11.082643181398879
54, 17.633027915810484, 20.4, -2.766972084189515
55, -5.477795020999147, 1.6, -7.077795020999147
56, 43.14058842960176, 33.8, 9.340588429601766
57, -1.2354329917716649, 14.4, -15.635432991771665
58, -0.6269539608955449, 8.9, -9.526953960895545
59, -3.0828442939151293, 2.9, -5.982844293915129
60, 15.235470036056107, 24.7, -9.464529963943892
61, 5.921558660958365, 10.9, -4.978441339041636
62, -3.749034679087239, 13.2, -16.949034679087237
63, -2.651587340305221, 3.9, -6.551587340305221
64, 4.207606141787471, 17.2, -12.992393858212528
65, -1.8495736887077914, 10.4, -12.249573688707791
66, 0.46391264586452047, 9.9, -9.43608735413548
67, -0.7895061204811512, 8.9, -9.689506120481152
68, 9.417361902710404, 22.0, -12.582638097289596
69, 1.1867015181621912, 9.8, -8.613298481837809
70, 6.456687006304703, 19.4, -12.943312993695296
71, -1.888540983514802, 11.3, -13.188540983514802
72, 10.478902821325176, 17.8, -7.321097178674824
73, 0.512090962319465, 13.9, -13.387909037680535
74, 7.9426522321104, 16.9, -8.957347767889598
75, 22.552789318614952, 39.7, -17.14721068138505
76, 22.552789318614952, 39.7, -17.14721068138505
--,--,--,--
MD (kcal/mol), -5.09228495226774, , 
MAD (kcal/mol), 7.815997998443575, , 
RMSD (kcal/mol), 6.210360211102463, , 
AMAX (kcal/mol), 27.45613247945679, index, 9 
AMIN (kcal/mol), 0.08103810109061271, index, 1 
