System, Energy (Hartree)
C2H5, -78.37670736542583
C2H6, -79.04208641171603
C5H8, -193.46645993729211
CH2OH, -114.15700688599489
CH4, -40.103567701799214
H2, -1.1364844553542859
H2O, -75.89444980978064
H2S, -397.9992764869266
HS, -397.3514022365164
N2H, -109.14495103741997
N2H2, -109.76417074452763
NH, -54.75076043683034
NH2, -55.40774122667028
NH3, -56.09282904918781
O, -74.51467089132497
PH2, -341.2059534198539
PH3, -341.83556639880686
RKT01, -459.78639569020925
RKT02, -76.33591300796544
RKT03, -40.567035166062084
RKT04, -115.30263108374538
RKT05, -115.28676410750455
RKT06, -1.613362235096841
RKT07, -131.29619591171826
RKT08, -498.75478645145324
RKT09, -154.24305715656988
RKT10, -100.2402159241202
RKT11, -114.62020738091597
RKT12, -342.3181586082556
RKT13, -459.775743710368
RKT14, -75.65712981373362
RKT15, -110.24201836867529
RKT16, -398.48118144467406
RKT17, -533.8295059815505
RKT18, -94.83932061716261
RKT19, -133.78255746285072
RKT20, -134.45283722001267
RKT21, -95.51049285957575
RKT22, -193.43051977981116
c2h4, -77.83007077682005
c2h5_34, -78.37667523275906
c2h5ts, -78.30138287482242
c3h7, -117.3172145191361
c3h7ts, -117.24812152029543
ch3, -39.430321232403706
ch3cl, -498.24114561409453
ch3f, -138.74799133025437
ch3fclts, -597.2901303469756
ch3oh, -114.81161734955984
cl, -458.641358239631
cl-, -458.7868170475633
clch3clcomp, -957.0456826715944
clch3clts, -957.0226793593672
clf, -557.8798102565497
co, -112.44353622099827
f, -99.09500204674535
f-, -99.2414378252574
f2, -198.30755022982424
fch3clcomp1, -597.5086808486944
fch3clcomp2, -597.550345954687
fch3clts, -597.501551738012
fch3fcomp, -238.01214075022858
fch3fts, -237.98926779032232
h, -0.47767938434993423
hch3clts, -498.7109250379115
hcl, -459.3118876069362
hclhts, -459.7757437103686
hcn, -92.62959220519278
hcnts, -92.55411449409192
hco, -112.97025313214006
hcots, -112.9239565351393
hf, -99.83128544351234
hf2ts, -198.7390850798264
hfch3ts, -139.19253649906636
hfhts, -100.27234785665475
hn2, -109.14495663192973
hn2ts, -109.12777496635819
hnc, -92.60747329804559
hoch3fcomp1, -214.11202789802806
hoch3fcomp2, -214.0426710833105
hoch3fts, -214.02402121000887
n2, -108.6679144632344
n2o, -183.3179521899855
n2ohts, -183.7675539713236
oh, -75.18888703377885
oh-, -75.2721217040568
