Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 2.7058029946347015, 17.7, -14.994197005365297
2, 32.40784165544091, 82.6, -50.19215834455908
3, 18.306254550589827, 42.1, -23.793745449410174
4, 18.306254550589827, 42.1, -23.793745449410174
5, 2.6159240976332168, 17.8, -15.184075902366784
6, 2.6159240976332168, 17.8, -15.184075902366784
7, 13.131797952081573, 30.5, -17.368202047918427
8, 31.653865547235274, 56.9, -25.246134452764725
9, -15.48302810983588, 1.5, -16.983028109835878
10, 68.22095036599238, 104.8, -36.57904963400762
11, -11.053154918603086, 7.1, -18.153154918603086
12, 32.24989561331083, 59.8, -27.55010438668917
13, -9.924274851882952, -0.6, -9.324274851882953
14, -9.924274851882952, -0.6, -9.324274851882953
15, 6.863315632045988, 13.4, -6.536684367954012
16, 6.863315632045988, 13.4, -6.536684367954012
17, -6.33435821943115, 2.5, -8.834358219431149
18, -6.33435821943115, 2.5, -8.834358219431149
19, 6.656602993661372, 13.5, -6.843397006338628
20, 6.656602993661372, 13.5, -6.843397006338628
21, -21.022708595828153, -12.3, -8.722708595828152
22, 10.364436949790965, 19.8, -9.435563050209035
23, -0.8046582622770662, 3.5, -4.304658262277066
24, 21.428532631916134, 29.6, -8.171467368083867
25, -12.015824227535193, -2.7, -9.315824227535192
26, 8.033448775460498, 17.6, -9.566551224539504
27, 3.984716610882403, 11.0, -7.015283389117597
28, 47.24119035330223, 47.7, -0.45880964669777313
29, -2.16830497147186, 14.6, -16.76830497147186
30, 9.297435807563211, 10.9, -1.6025641924367893
31, -7.6288086337493475, 3.2, -10.828808633749347
32, 26.18725967389942, 22.8, 3.3872596738994183
33, -5.325939223315788, 2.0, -7.325939223315788
34, 39.332856257759126, 42.0, -2.6671437422408744
35, -5.7126346164170885, 6.4, -12.11263461641709
36, 33.06928790026589, 33.0, 0.06928790026589127
37, 44.80901358185183, 48.1, -3.2909864181481723
38, 30.801546707533163, 33.0, -2.198453292466837
39, -3.367073409611795, 6.1, -9.467073409611794
40, -16.107175358723957, 8.0, -24.107175358723957
41, -18.204713253554036, 5.2, -23.404713253554036
42, 11.219528345663765, 21.6, -10.380471654336237
43, -5.345811925123893, 11.9, -17.245811925123895
44, 4.92925371062627, 15.0, -10.07074628937373
45, -16.87234372531907, 6.3, -23.17234372531907
46, 2.27683223814857, 19.5, -17.22316776185143
47, -2.639819949061466, 9.7, -12.339819949061464
48, -2.639819949061466, 9.7, -12.339819949061464
49, -23.540952033986567, 3.4, -26.940952033986566
50, -10.5916567827204, 13.7, -24.2916567827204
51, -13.549318661203586, 1.8, -15.349318661203586
52, -16.01435497461125, 6.8, -22.814354974611252
53, -20.612161665230882, 3.5, -24.112161665230882
54, 4.942138206331516, 20.4, -15.457861793668481
55, -23.80819474371887, 1.6, -25.408194743718873
56, 25.355864340447305, 33.8, -8.444135659552693
57, -10.077954501005388, 14.4, -24.47795450100539
58, -9.162107292408914, 8.9, -18.062107292408914
59, -7.283690067336195, 2.9, -10.183690067336196
60, 9.787242408952249, 24.7, -14.91275759104775
61, -1.7752389645046192, 10.9, -12.675238964504619
62, -12.966151808850178, 13.2, -26.166151808850177
63, -6.7143874460260164, 3.9, -10.614387446026017
64, -4.995843617381508, 17.2, -22.195843617381506
65, -22.835974114831014, 10.4, -33.235974114831016
66, -24.38516321959762, 9.9, -34.28516321959762
67, -8.293423924393522, 8.9, -17.19342392439352
68, 2.329159203335535, 22.0, -19.670840796664464
69, -5.604339703470512, 9.8, -15.404339703470512
70, -1.3868804838183788, 19.4, -20.78688048381838
71, -9.513726058948428, 11.3, -20.81372605894843
72, 3.0912785613477993, 17.8, -14.708721438652201
73, -6.001360613481831, 13.9, -19.90136061348183
74, 0.19852009871963852, 16.9, -16.70147990128036
75, 24.968823571293935, 39.7, -14.731176428706068
76, 24.968823571293935, 39.7, -14.731176428706068
--,--,--,--
MD (kcal/mol), -15.29540036535133, , 
MAD (kcal/mol), 15.38636214361884, , 
RMSD (kcal/mol), 9.022940961447786, , 
AMAX (kcal/mol), 50.19215834455908, index, 2 
AMIN (kcal/mol), 0.06928790026589127, index, 36 
