System, Energy (Hartree)
C2H5, -78.40694621874489
C2H6, -79.07165221272734
C5H8, -193.53741039721714
CH2OH, -114.19072200096562
CH4, -40.118469378604146
H2, -1.1372025991947086
H2O, -75.9082803600673
H2S, -398.01626076902636
HS, -397.36046059366066
N2H, -109.18964343739889
N2H2, -109.79293171038088
NH, -54.76352840921577
NH2, -55.42151345412262
NH3, -56.106306801589426
O, -74.52647829299272
PH2, -341.2257716000496
PH3, -341.8571061867952
RKT01, -459.8101783928612
RKT02, -76.36906465347904
RKT03, -40.589277862717445
RKT04, -115.34820816689282
RKT05, -115.32763610326487
RKT06, -1.6200731699736934
RKT07, -131.34667269366585
RKT08, -498.791297253573
RKT09, -154.30735078026157
RKT10, -100.28386151845051
RKT11, -114.66100791437815
RKT12, -342.3473772356709
RKT13, -459.80064387943185
RKT14, -75.68434377035068
RKT15, -110.2900307775714
RKT16, -398.50562457642627
RKT17, -533.889018604094
RKT18, -94.878286036365
RKT19, -133.83739075667597
RKT20, -134.50832675437482
RKT21, -95.54954660962821
RKT22, -193.49762004407773
c2h4, -77.85707269707866
c2h5_34, -78.40690476767365
c2h5ts, -78.34422387139477
c3h7, -117.36243179450922
c3h7ts, -117.3097325297696
ch3, -39.4435561699535
ch3cl, -498.27144203094724
ch3f, -138.78098053689575
ch3fclts, -597.3768944327411
ch3oh, -114.84274632722224
cl, -458.6473073758585
cl-, -458.8007901445679
clch3clcomp, -957.0929345899807
clch3clts, -957.0823266178802
clf, -557.9157239392189
co, -112.4706935588023
f, -99.10871814588458
f-, -99.26031005025148
f2, -198.34226852593923
fch3clcomp1, -597.5639715952766
fch3clcomp2, -597.5994024402489
fch3clts, -597.5652538998402
fch3fcomp, -238.06804331547693
fch3fts, -238.05710592581872
h, -0.4786637499130481
hch3clts, -498.7533578346982
hcl, -459.32614886992195
hclhts, -459.80064387943224
hcn, -92.6543890151472
hcnts, -92.5829813066839
hco, -113.00324664378577
hcots, -112.96151458912158
hf, -99.84560491040301
hf2ts, -198.84560605170714
hfch3ts, -139.23871743471355
hfhts, -100.29509578674643
hn2, -109.18963465288654
hn2ts, -109.17481824581724
hnc, -92.63206669579858
hoch3fcomp1, -214.1655378908188
hoch3fcomp2, -214.0966043120756
hoch3fts, -214.09025426195592
n2, -108.6926990819844
n2o, -183.36955311763228
n2ohts, -183.8439048960031
oh, -75.20285099707164
oh-, -75.29012529029673
