Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 50.6167315844972, 17.7, 32.9167315844972
2, 80.31877024530341, 82.6, -2.2812297546965823
3, 32.58079619844474, 42.1, -9.519203801555264
4, 32.58079619844474, 42.1, -9.519203801555264
5, 18.241016090840297, 17.8, 0.44101609084029647
6, 18.241016090840297, 17.8, 0.44101609084029647
7, 42.11077259178709, 30.5, 11.61077259178709
8, 60.63284018694079, 56.9, 3.7328401869407912
9, 51.35989093173334, 1.5, 49.85989093173334
10, 135.0638694075616, 104.8, 30.263869407561614
11, 43.392130907655414, 7.1, 36.29213090765541
12, 86.69518143956932, 59.8, 26.895181439569328
13, 32.64479787488235, -0.6, 33.24479787488235
14, 32.64479787488235, -0.6, 33.24479787488235
15, 49.432388358811295, 13.4, 36.032388358811296
16, 49.432388358811295, 13.4, 36.032388358811296
17, 31.09486159936199, 2.5, 28.59486159936199
18, 31.09486159936199, 2.5, 28.59486159936199
19, 44.08582281245451, 13.5, 30.58582281245451
20, 44.08582281245451, 13.5, 30.58582281245451
21, 18.95100146962281, -12.3, 31.25100146962281
22, 50.33814701524193, 19.8, 30.53814701524193
23, 39.1690518031739, 3.5, 35.6690518031739
24, 61.4022426973671, 29.6, 31.8022426973671
25, 29.546043365350116, -2.7, 32.24604336535012
26, 49.595316368345806, 17.6, 31.995316368345804
27, 45.546584203767715, 11.0, 34.546584203767715
28, 88.80305794618754, 47.7, 41.10305794618753
29, 27.351798580075737, 14.6, 12.751798580075738
30, 38.81753935911081, 10.9, 27.917539359110812
31, 15.939226067503396, 3.2, 12.739226067503395
32, 49.75529437515216, 22.8, 26.95529437515216
33, 21.557192004137796, 2.0, 19.557192004137796
34, 66.21598748521271, 42.0, 24.215987485212707
35, 32.94885753521767, 6.4, 26.54885753521767
36, 71.73078005190065, 33.0, 38.73078005190065
37, 62.92321196932544, 48.1, 14.823211969325442
38, 48.91574509500678, 33.0, 15.915745095006777
39, 11.556797823306729, 6.1, 5.456797823306729
40, -1.1833041258054335, 8.0, -9.183304125805433
41, 2.5982583870088574, 5.2, -2.601741612991143
42, 32.02249998622666, 21.6, 10.422499986226661
43, 8.61169095482593, 11.9, -3.2883090451740706
44, 18.886756590576095, 15.0, 3.886756590576095
45, 11.727707749856222, 6.3, 5.427707749856222
46, 30.87688371332386, 19.5, 11.37688371332386
47, 1.5713552659835774, 9.7, -8.128644734016422
48, 1.5713552659835774, 9.7, -8.128644734016422
49, 8.133706858343913, 3.4, 4.733706858343913
50, 21.08300210961008, 13.7, 7.383002109610082
51, 9.361555574598844, 1.8, 7.561555574598844
52, 6.896519261191178, 6.8, 0.09651926119117782
53, 19.732696323153668, 3.5, 16.232696323153668
54, 45.28699619471606, 20.4, 24.886996194716062
55, 3.579829199657287, 1.6, 1.9798291996572868
56, 52.743888283823466, 33.8, 18.94388828382347
57, 15.524766793336013, 14.4, 1.124766793336013
58, 16.440614001932488, 8.9, 7.540614001932488
59, 11.05127545486768, 2.9, 8.15127545486768
60, 28.122207931156122, 24.7, 3.422207931156123
61, 15.301776639442018, 10.9, 4.4017766394420175
62, 4.110863795096459, 13.2, -9.08913620490354
63, 8.623909304255443, 3.9, 4.723909304255443
64, 10.342453132899951, 17.2, -6.857546867100048
65, 14.50876035754102, 10.4, 4.108760357541019
66, 12.959571252774415, 9.9, 3.0595712527744148
67, 16.15774578594096, 8.9, 7.25774578594096
68, 26.78032891367002, 22.0, 4.780328913670019
69, 28.80407166595975, 9.8, 19.00407166595975
70, 33.02153088561188, 19.4, 13.621530885611882
71, 25.30648246464966, 11.3, 14.006482464649658
72, 37.91148708494588, 17.8, 20.11148708494588
73, 18.505237542127443, 13.9, 4.605237542127442
74, 24.705118254328912, 16.9, 7.805118254328914
75, 67.07487511070205, 39.7, 27.37487511070205
76, 67.07487511070205, 39.7, 27.37487511070205
--,--,--,--
MD (kcal/mol), 15.407141808613936, , 
MAD (kcal/mol), 17.212325089714316, , 
RMSD (kcal/mol), 12.74222423235019, , 
AMAX (kcal/mol), 49.85989093173334, index, 9 
AMIN (kcal/mol), 0.09651926119117782, index, 52 
