Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 21.586613255792994, 17.7, 3.8866132557929944
2, 72.76946131996272, 82.6, -9.830538680037279
3, 30.417263849218326, 42.1, -11.682736150781675
4, 30.417263849218326, 42.1, -11.682736150781675
5, 14.180872472333498, 17.8, -3.619127527666503
6, 14.180872472333498, 17.8, -3.619127527666503
7, 24.075037216646212, 30.5, -6.424962783353788
8, 50.18248335803193, 56.9, -6.717516641968068
9, 25.601908818901453, 1.5, 24.101908818901453
10, 119.2764155786545, 104.8, 14.476415578654496
11, 13.152527495579617, 7.1, 6.052527495579618
12, 62.224196073118875, 59.8, 2.4241960731188783
13, 3.0500500495596685, -0.6, 3.6500500495596686
14, 3.0500500495596685, -0.6, 3.6500500495596686
15, 14.618823440610392, 13.4, 1.2188234406103913
16, 14.618823440610392, 13.4, 1.2188234406103913
17, 5.20457972200938, 2.5, 2.70457972200938
18, 5.20457972200938, 2.5, 2.70457972200938
19, 14.339263139915785, 13.5, 0.8392631399157846
20, 14.339263139915785, 13.5, 0.8392631399157846
21, -8.947387625641985, -12.3, 3.3526123743580154
22, 22.311009853853577, 19.8, 2.511009853853576
23, 4.542305957959596, 3.5, 1.042305957959596
24, 30.198339325617273, 29.6, 0.5983393256172711
25, 0.5416195888222621, -2.7, 3.241619588822262
26, 20.798600645441415, 17.6, 3.198600645441413
27, 11.907713518662877, 11.0, 0.9077135186628773
28, 50.371371059238854, 47.7, 2.671371059238851
29, 15.477116417130292, 14.6, 0.8771164171302921
30, 9.46437027747035, 10.9, -1.4356297225296508
31, 1.9366191881555737, 3.2, -1.2633808118444265
32, 26.133190629698944, 22.8, 3.3331906296989438
33, 5.757954522633929, 2.0, 3.757954522633929
34, 46.152568464268576, 42.0, 4.152568464268576
35, 10.847951954783872, 6.4, 4.447951954783871
36, 37.57211435447136, 33.0, 4.57211435447136
37, 47.590343441314175, 48.1, -0.5096565586858262
38, 32.685158642532315, 33.0, -0.31484135746768516
39, 4.128905869479586, 6.1, -1.971094130520414
40, 2.68198049762085, 8.0, -5.318019502379149
41, 2.5698819437762217, 5.2, -2.6301180562237785
42, 22.24089061419656, 21.6, 0.6408906141965574
43, 7.5152419119884035, 11.9, -4.384758088011597
44, 12.228188240353438, 15.0, -2.771811759646562
45, 3.1979320340982613, 6.3, -3.1020679659017385
46, 18.155994376149103, 19.5, -1.3440056238508973
47, 5.755051869070944, 9.7, -3.9449481309290553
48, 5.755051869070944, 9.7, -3.9449481309290553
49, 0.8832864981901412, 3.4, -2.5167135018098588
50, 11.700318512550849, 13.7, -1.9996814874491502
51, -1.4906787910747403, 1.8, -3.2906787910747406
52, 1.7753421654469195, 6.8, -5.02465783455308
53, 1.720752130220186, 3.5, -1.779247869779814
54, 21.019522805707293, 20.4, 0.6195228057072946
55, 0.8977506834946131, 1.6, -0.702249316505387
56, 37.60315381536933, 33.8, 3.8031538153693347
57, 7.090557329572017, 14.4, -7.309442670427983
58, 6.682692498431737, 8.9, -2.2173075015682633
59, 0.9855437762116765, 2.9, -1.9144562237883234
60, 22.194951740452932, 24.7, -2.505048259547067
61, 9.991341499060356, 10.9, -0.9086585009396444
62, 5.686260001829159, 13.2, -7.51373999817084
63, 1.4837857958426395, 3.9, -2.4162142041573604
64, 12.818920069213846, 17.2, -4.381079930786154
65, 7.132774366409523, 10.4, -3.2672256335904777
66, 9.990930491790902, 9.9, 0.09093049179090151
67, 6.93413587066613, 8.9, -1.9658641293338706
68, 16.297409153991037, 22.0, -5.702590846008963
69, 8.835182307951941, 9.8, -0.9648176920480598
70, 13.857747257849503, 19.4, -5.542252742150495
71, 7.682232646855283, 11.3, -3.6177673531447176
72, 16.163971307999518, 17.8, -1.6360286920004832
73, 9.832132492754976, 13.9, -4.067867507245024
74, 13.973162820445111, 16.9, -2.9268371795548873
75, 29.421768879505027, 39.7, -10.278231120494976
76, 29.421768879505027, 39.7, -10.278231120494976
--,--,--,--
MD (kcal/mol), -0.9164849353625935, , 
MAD (kcal/mol), 3.852960206947931, , 
RMSD (kcal/mol), 3.696901490030929, , 
AMAX (kcal/mol), 24.101908818901453, index, 9 
AMIN (kcal/mol), 0.09093049179090151, index, 66 
