System, Energy (Hartree)
C2H5, -79.05212432423134
C2H6, -79.71912166892048
C5H8, -195.06952781318003
CH2OH, -114.96059665835992
CH4, -40.4577375498598
H2, -1.1657760672554272
H2O, -76.37711567390757
H2S, -399.2264799873099
HS, -398.57813952789854
N2H, -109.92995832233585
N2H2, -110.55045032751812
NH, -55.16756095905125
NH2, -55.826554337015594
NH3, -56.50706819262879
O, -75.00609905077687
PH2, -342.3443305156544
PH3, -342.97693531831635
RKT01, -461.1232645138257
RKT02, -76.84104448022053
RKT03, -40.93762261307039
RKT04, -116.13200510129806
RKT05, -116.10818313376998
RKT06, -1.655976729893335
RKT07, -132.1850243665207
RKT08, -500.41667081657965
RKT09, -155.39574325637722
RKT10, -100.82936375065175
RKT11, -115.45253707828259
RKT12, -343.4747366759079
RKT13, -461.10724568539564
RKT14, -76.16281348591858
RKT15, -111.04400242203606
RKT16, -399.72348734570267
RKT17, -535.6252046738772
RKT18, -95.59932693425343
RKT19, -134.86459890201917
RKT20, -135.53343358894574
RKT21, -96.26862338639987
RKT22, -195.02264123999572
c2h4, -78.48836514342594
c2h5_34, -79.05210997984642
c2h5ts, -78.97856118039095
c3h7, -118.31477565317594
c3h7ts, -118.25490067772546
ch3, -39.78382284613012
ch3cl, -499.88556055472
ch3f, -139.63276232991754
ch3fclts, -599.4953642161464
ch3oh, -115.61883470602123
cl, -459.961762454547
cl-, -460.09588523011223
clch3clcomp, -959.9960028294594
clch3clts, -959.9731517591049
clf, -559.7325012567419
co, -113.22018289341126
f, -99.66501834017619
f-, -99.79327357814813
f2, -199.406282859025
fch3clcomp1, -599.7003313279563
fch3clcomp2, -599.7412168196151
fch3clts, -599.6930927026515
fch3fcomp, -239.4444719219734
fch3fts, -239.42117534392182
h, -0.4993719215701557
hch3clts, -500.37091501443746
hcl, -460.630472422585
hclhts, -461.10724568539626
hcn, -93.33499014951056
hcnts, -93.25915010978467
hco, -113.75811450601664
hcots, -113.71646861585901
hf, -100.38991626906159
hf2ts, -199.864855541895
hfch3ts, -140.09376823756799
hfhts, -100.84081519523254
hn2, -109.92996210400592
hn2ts, -109.91487966992538
hnc, -93.31123722558692
hoch3fcomp1, -215.4592354936158
hoch3fcomp2, -215.39793975366223
hoch3fts, -215.37896360427987
n2, -109.4401721033281
n2o, -184.53859890202563
n2ohts, -185.00357036567755
oh, -75.67936378052528
oh-, -75.74706440011774
