Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 9.953270050848571, 17.7, -7.746729949151428
2, 52.80825246651391, 82.6, -29.79174753348608
3, 26.945604449006236, 42.1, -15.154395550993765
4, 26.945604449006236, 42.1, -15.154395550993765
5, 9.961214302622793, 17.8, -7.838785697377208
6, 9.961214302622793, 17.8, -7.838785697377208
7, 18.267517514198506, 30.5, -12.232482485801494
8, 41.00782068185034, 56.9, -15.892179318149658
9, -9.503423613128696, 1.5, -11.003423613128696
10, 79.6989970423021, 104.8, -25.1010029576979
11, -5.932066362574708, 7.1, -13.032066362574707
12, 41.77459737697421, 59.8, -18.02540262302579
13, -5.919306698627515, -0.6, -5.319306698627515
14, -5.919306698627515, -0.6, -5.319306698627515
15, 7.40082666166939, 13.4, -5.9991733383306105
16, 7.40082666166939, 13.4, -5.9991733383306105
17, -3.4219370533578632, 2.5, -5.921937053357864
18, -3.4219370533578632, 2.5, -5.921937053357864
19, 7.061482577839061, 13.5, -6.438517422160939
20, 7.061482577839061, 13.5, -6.438517422160939
21, -16.943791757976307, -12.3, -4.643791757976306
22, 12.553575122945212, 19.8, -7.246424877054789
23, -0.41889513015376517, 3.5, -3.918895130153765
24, 21.25059012236744, 29.6, -8.34940987763256
25, -8.187036424683999, -2.7, -5.487036424683999
26, 11.635797202982143, 17.6, -5.964202797017858
27, 4.474935419713195, 11.0, -6.525064580286805
28, 42.88626710370571, 47.7, -4.81373289629429
29, 5.181353405473895, 14.6, -9.418646594526106
30, 8.977060651946061, 10.9, -1.922939348053939
31, -1.7762245898680886, 3.2, -4.976224589868089
32, 24.55476369861652, 22.8, 1.754763698616518
33, -0.16436153619618685, 2.0, -2.164361536196187
34, 40.28975431807923, 42.0, -1.7102456819207674
35, 1.5389352655906376, 6.4, -4.8610647344093625
36, 29.827266711772253, 33.0, -3.1727332882277466
37, 45.56205973249251, 48.1, -2.5379402675074942
38, 30.675993095720965, 33.0, -2.3240069042790346
39, 0.32127404389077263, 6.1, -5.778725956109227
40, -1.2432783632577542, 8.0, -9.243278363257755
41, -6.198379768114405, 5.2, -11.398379768114406
42, 13.616142812523057, 21.6, -7.983857187476945
43, 3.8381300369048685, 11.9, -8.061869963095132
44, 9.287852736501655, 15.0, -5.712147263498345
45, -5.314296862072225, 6.3, -11.614296862072225
46, 9.05050301896845, 19.5, -10.44949698103155
47, 3.6705579212433954, 9.7, -6.029442078756604
48, 3.6705579212433954, 9.7, -6.029442078756604
49, -11.603951576851925, 3.4, -15.003951576851925
50, -0.547293843952853, 13.7, -14.247293843952852
51, -5.794643446996501, 1.8, -7.594643446996501
52, -1.9094731545527708, 6.8, -8.709473154552771
53, -8.673543048609432, 3.5, -12.173543048609432
54, 10.961330451531747, 20.4, -9.438669548468251
55, -12.676295613644529, 1.6, -14.276295613644528
56, 24.79169508067916, 33.8, -9.008304919320839
57, -0.29707392427797624, 14.4, -14.697073924277976
58, -0.39133455285429053, 8.9, -9.291334552854291
59, -1.756848572519419, 2.9, -4.656848572519419
60, 18.426188811540385, 24.7, -6.273811188459614
61, 3.7077386336259615, 10.9, -7.192261366374039
62, -1.6477234374078167, 13.2, -14.847723437407815
63, -1.2274009091694027, 3.9, -5.127400909169403
64, 9.56033124663775, 17.2, -7.639668753362249
65, -10.34203576906991, 10.4, -20.742035769069908
66, -6.551126105202493, 9.9, -16.451126105202494
67, 0.8410592769649899, 8.9, -8.058940723035011
68, 10.671228123082011, 22.0, -11.328771876917989
69, 3.0747224880028114, 9.8, -6.72527751199719
70, 7.634817715014872, 19.4, -11.765182284985126
71, 1.5981392543314006, 11.3, -9.7018607456686
72, 10.17635502156459, 17.8, -7.6236449784354114
73, 4.525173502917304, 13.9, -9.374826497082697
74, 7.833315651058907, 16.9, -9.066684348941092
75, 31.17431928484156, 39.7, -8.525680715158444
76, 31.17431928484156, 39.7, -8.525680715158444
--,--,--,--
MD (kcal/mol), -8.879212770826676, , 
MAD (kcal/mol), 8.92539076289553, , 
RMSD (kcal/mol), 5.059658606875558, , 
AMAX (kcal/mol), 29.79174753348608, index, 2 
AMIN (kcal/mol), 1.7102456819207674, index, 34 
