System, Energy (Hartree)
C2H5, -79.07045182525114
C2H6, -79.7373567287098
C5H8, -195.11638287203957
CH2OH, -114.9826246632567
CH4, -40.466761567728845
H2, -1.1665527278466419
H2O, -76.38620852167871
H2S, -399.23700119193154
HS, -398.5875739229782
N2H, -109.96299376207922
N2H2, -110.57038080391573
NH, -55.17528854757564
NH2, -55.83492647672475
NH3, -56.51550163716249
O, -75.012860369101
PH2, -342.35626498764543
PH3, -342.99071988467995
RKT01, -461.1381864925356
RKT02, -76.86444393033848
RKT03, -40.95189454567629
RKT04, -116.16324389443062
RKT05, -116.13605511808544
RKT06, -1.6606374348873327
RKT07, -132.22200716666
RKT08, -500.439456981395
RKT09, -155.43919235496384
RKT10, -100.85986978226254
RKT11, -115.48009535426267
RKT12, -343.49345371451176
RKT13, -461.1228242698812
RKT14, -76.18203891138633
RKT15, -111.0788697988013
RKT16, -399.7388912932059
RKT17, -535.6681058140637
RKT18, -95.62504443082615
RKT19, -134.90047841979867
RKT20, -135.5697364084213
RKT21, -96.29447672145378
RKT22, -195.06670343200977
c2h4, -78.50602784376545
c2h5_34, -79.07042969437023
c2h5ts, -79.00622388396675
c3h7, -118.34256643680085
c3h7ts, -118.29503366168808
ch3, -39.79145826737431
ch3cl, -499.9041436172871
ch3f, -139.65472892389676
ch3fclts, -599.5578093399619
ch3oh, -115.63920791248847
cl, -459.9696524745019
cl-, -460.10383043628406
clch3clcomp, -960.0246804461668
clch3clts, -960.0134272573789
clf, -559.756897723104
co, -113.23917700179568
f, -99.67311609150204
f-, -99.80740869662564
f2, -199.43047262204732
fch3clcomp1, -599.7378864129357
fch3clcomp2, -599.7724189357871
fch3clts, -599.7385539648174
fch3fcomp, -239.48336460419495
fch3fts, -239.47157063618718
h, -0.49993411342092753
hch3clts, -500.3978288524701
hcl, -460.6387643618929
hclhts, -461.12282426988054
hcn, -93.35201031333608
hcnts, -93.27940254944451
hco, -113.78107221600764
hcots, -113.7419417092766
hf, -100.39944374976372
hf2ts, -199.94555140500063
hfch3ts, -140.12555189514492
hfhts, -100.85643730919662
hn2, -109.96298444749654
hn2ts, -109.94867859073581
hnc, -93.32828785614291
hoch3fcomp1, -215.49641740287487
hoch3fcomp2, -215.43520504948157
hoch3fts, -215.42807378596336
n2, -109.45700148955076
n2o, -184.5767870701245
n2ohts, -185.06085963808317
oh, -75.68801345558234
oh-, -75.76029798905022
