Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 45.90283124755802, 17.7, 28.20283124755802
2, 88.75781366322336, 82.6, 6.157813663223365
3, 36.74862896636223, 42.1, -5.3513710336377684
4, 36.74862896636223, 42.1, -5.3513710336377684
5, 19.736923658996414, 17.8, 1.9369236589964132
6, 19.736923658996414, 17.8, 1.9369236589964132
7, 38.21206376410291, 30.5, 7.712063764102908
8, 60.95236693175474, 56.9, 4.05236693175474
9, 41.133995003350606, 1.5, 39.633995003350606
10, 130.3364156587814, 104.8, 25.536415658781394
11, 33.252840440661075, 7.1, 26.152840440661073
12, 80.95950418020999, 59.8, 21.159504180209993
13, 25.704216646064914, -0.6, 26.304216646064916
14, 25.704216646064914, -0.6, 26.304216646064916
15, 39.02435000636182, 13.4, 25.624350006361823
16, 39.02435000636182, 13.4, 25.624350006361823
17, 21.851319686195794, 2.5, 19.351319686195794
18, 21.851319686195794, 2.5, 19.351319686195794
19, 32.33473931739272, 13.5, 18.834739317392717
20, 32.33473931739272, 13.5, 18.834739317392717
21, 11.583580953973032, -12.3, 23.88358095397303
22, 41.08094783489455, 19.8, 21.28094783489455
23, 28.108477581795572, 3.5, 24.608477581795572
24, 49.77796283431678, 29.6, 20.17796283431678
25, 22.630067854662922, -2.7, 25.33006785466292
26, 42.45290148232907, 17.6, 24.852901482329067
27, 35.29203969906012, 11.0, 24.29203969906012
28, 73.70337138305264, 47.7, 26.003371383052638
29, 26.39049642712324, 14.6, 11.790496427123239
30, 30.186203673595404, 10.9, 19.286203673595402
31, 14.208382863361743, 3.2, 11.008382863361742
32, 40.53937115184635, 22.8, 17.739371151846353
33, 17.194247035816073, 2.0, 15.194247035816073
34, 57.648362890091484, 42.0, 15.648362890091484
35, 26.722762924556235, 6.4, 20.322762924556237
36, 55.01109437073785, 33.0, 22.01109437073785
37, 58.27065749193373, 48.1, 10.170657491933731
38, 43.384590855162195, 33.0, 10.384590855162195
39, 9.684957056142503, 6.1, 3.5849570561425033
40, 8.120404648993976, 8.0, 0.12040464899397563
41, 8.484996868764792, 5.2, 3.284996868764792
42, 28.299519449402254, 21.6, 6.699519449402253
43, 12.79390296029709, 11.9, 0.8939029602970905
44, 18.243625659893876, 15.0, 3.243625659893876
45, 14.288341786904347, 6.3, 7.988341786904347
46, 28.65314166794502, 19.5, 9.153141667945022
47, 6.595194460789966, 9.7, -3.104805539210033
48, 6.595194460789966, 9.7, -3.104805539210033
49, 11.603105887938597, 3.4, 8.203105887938596
50, 22.65976362083767, 13.7, 8.95976362083767
51, 8.503890852184913, 1.8, 6.703890852184913
52, 12.389061144628643, 6.8, 5.589061144628643
53, 18.59117795399462, 3.5, 15.09117795399462
54, 38.2260514541358, 20.4, 17.8260514541358
55, 6.466528238189555, 1.6, 4.866528238189554
56, 43.93451893251324, 33.8, 10.134518932513245
57, 16.99600534206911, 14.4, 2.5960053420691107
58, 16.9017447134928, 8.9, 8.0017447134928
59, 9.988270477820171, 2.9, 7.088270477820171
60, 30.171307861879974, 24.7, 5.471307861879975
61, 15.7718752575336, 10.9, 4.871875257533599
62, 10.416413186499822, 13.2, -2.783586813500177
63, 8.438722087068822, 3.9, 4.538722087068821
64, 19.226454242875974, 17.2, 2.0264542428759746
65, 16.578836146048985, 10.4, 6.178836146048985
66, 20.369745809916402, 9.9, 10.469745809916402
67, 16.97903202553375, 8.9, 8.07903202553375
68, 26.809200871650773, 22.0, 4.8092008716507735
69, 25.58945981945661, 9.8, 15.78945981945661
70, 30.14955504646867, 19.4, 10.749555046468672
71, 24.378502410449652, 11.3, 13.078502410449651
72, 32.956718177682845, 17.8, 15.156718177682844
73, 20.74838618537208, 13.9, 6.84838618537208
74, 24.056528333513683, 16.9, 7.156528333513684
75, 58.823762221645254, 39.7, 19.12376222164525
76, 58.823762221645254, 39.7, 19.12376222164525
--,--,--,--
MD (kcal/mol), 12.506596925048285, , 
MAD (kcal/mol), 13.024911134500806, , 
RMSD (kcal/mol), 8.784491931394935, , 
AMAX (kcal/mol), 39.633995003350606, index, 9 
AMIN (kcal/mol), 0.12040464899397563, index, 40 
