System, Energy (Hartree)
h, -0.49993411342092753
n2o, -184.5767870701245
n2ohts, -185.00357036567755
n2, -109.45700148955076
oh, -75.68801345558234
hf, -100.39944374976372
hfhts, -100.84081519523254
hcl, -460.6387643618929
hclhts, -461.10724568539626
ch3f, -139.65472892389676
hfch3ts, -140.09376823756799
ch3, -39.79145826737431
f2, -199.43047262204732
hf2ts, -199.864855541895
f, -99.67311609150204
ch3fclts, -599.4953642161464
clf, -559.756897723104
cl, -459.9696524745019
f-, -99.80740869662564
fch3fts, -239.42117534392182
fch3fcomp, -239.48336460419495
ch3cl, -499.9041436172871
cl-, -460.10383043628406
clch3clts, -959.9731517591049
clch3clcomp, -960.0246804461668
fch3clts, -599.6930927026515
fch3clcomp1, -599.7378864129357
fch3clcomp2, -599.7724189357871
hoch3fts, -215.37896360427987
oh-, -75.76029798905022
ch3oh, -115.63920791248847
hoch3fcomp2, -215.43520504948157
hoch3fcomp1, -215.49641740287487
hn2ts, -109.91487966992538
hn2, -109.96298444749654
co, -113.23917700179568
hcots, -113.71646861585901
hco, -113.78107221600764
c2h4, -78.50602784376545
c2h5ts, -78.97856118039095
c2h5_34, -79.07042969437023
c3h7ts, -118.25490067772546
c3h7, -118.34256643680085
hcn, -93.35201031333608
hcnts, -93.25915010978467
hnc, -93.32828785614291
RKT01, -461.1232645138257
H2, -1.1665527278466419
RKT02, -76.84104448022053
H2O, -76.38620852167871
RKT03, -40.93762261307039
CH4, -40.466761567728845
RKT04, -116.13200510129806
RKT06, -1.655976729893335
NH3, -56.51550163716249
RKT07, -132.1850243665207
NH2, -55.83492647672475
RKT08, -500.41667081657965
C2H6, -79.7373567287098
RKT09, -155.39574325637722
C2H5, -79.07045182525114
RKT10, -100.82936375065175
O, -75.012860369101
RKT11, -115.45253707828259
PH3, -342.99071988467995
RKT12, -343.4747366759079
PH2, -342.35626498764543
RKT14, -76.16281348591858
H2S, -399.23700119193154
RKT16, -399.72348734570267
HS, -398.5875739229782
RKT17, -535.6252046738772
RKT18, -95.59932693425343
NH, -55.17528854757564
RKT19, -134.86459890201917
RKT20, -135.53343358894574
RKT21, -96.26862338639987
C5H8, -195.11638287203957
RKT22, -195.02264123999572
