Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 17.05408684329468, 17.7, -0.6459131567053191
2, 79.77518684680999, 82.6, -2.824813153190007
3, 31.637689980801458, 42.1, -10.462310019198544
4, 31.637689980801458, 42.1, -10.462310019198544
5, 11.579222054270161, 17.8, -6.220777945729839
6, 11.579222054270161, 17.8, -6.220777945729839
7, 24.885774539132644, 30.5, -5.614225460867356
8, 53.993243750365984, 56.9, -2.9067562496340145
9, 11.442609028625451, 1.5, 9.942609028625451
10, 115.94956975197081, 104.8, 11.149569751970816
11, 8.71648811464432, 7.1, 1.616488114644321
12, 60.053331909662404, 59.8, 0.25333190966240693
13, 0.8669494742363618, -0.6, 1.4669494742363618
14, 0.8669494742363618, -0.6, 1.4669494742363618
15, 14.268743223798948, 13.4, 0.8687432237989476
16, 14.268743223798948, 13.4, 0.8687432237989476
17, 2.5725226056720407, 2.5, 0.07252260567204072
18, 2.5725226056720407, 2.5, 0.07252260567204072
19, 13.213912230750624, 13.5, -0.2860877692493755
20, 13.213912230750624, 13.5, -0.2860877692493755
21, -13.309982481345703, -12.3, -1.009982481345702
22, 22.57836313383419, 19.8, 2.7783631338341905
23, 2.897811321761742, 3.5, -0.602188678238258
24, 31.46248294336278, 29.6, 1.862482943362778
25, -1.1738864173694175, -2.7, 1.5261135826305827
26, 18.920826998263944, 17.6, 1.320826998263943
27, 11.871347804358086, 11.0, 0.871347804358086
28, 50.105074786030116, 47.7, 2.405074786030113
29, 9.98575397411751, 14.6, -4.61424602588249
30, 9.84095621008829, 10.9, -1.0590437899117102
31, -0.5153096354242425, 3.2, -3.7153096354242425
32, 26.07874408773485, 22.8, 3.27874408773485
33, -1.0883169062971625, 2.0, -3.0883169062971625
34, 46.45176444125701, 42.0, 4.451764441257012
35, 5.616054489148167, 6.4, -0.783945510851833
36, 34.99835347389297, 33.0, 1.9983534738929691
37, 47.10756403276521, 48.1, -0.9924359672347904
38, 33.48897612128499, 33.0, 0.4889761212849919
39, 0.4438702175816083, 6.1, -5.656129782418391
40, 3.3759048635428823, 8.0, -4.624095136457118
41, 4.197360306224362, 5.2, -1.002639693775638
42, 16.716656896609944, 21.6, -4.883343103390057
43, 9.834138100376972, 11.9, -2.0658618996230285
44, 9.15789215724899, 15.0, -5.842107842751011
45, 4.441966079856539, 6.3, -1.8580339201434608
46, 17.637508613370102, 19.5, -1.8624913866298982
47, 3.8456448501611664, 9.7, -5.854355149838833
48, 3.8456448501611664, 9.7, -5.854355149838833
49, 1.7355413591946114, 3.4, -1.6644586408053885
50, 11.892796605898244, 13.7, -1.8072033941017551
51, -0.0456935054311225, 1.8, -1.8456935054311225
52, 2.210095197399487, 6.8, -4.589904802600513
53, 2.7550426234006156, 3.5, -0.7449573765993844
54, 19.820161692786687, 20.4, -0.5798383072133113
55, 2.011626483157081, 1.6, 0.41162648315708106
56, 30.803099602703057, 33.8, -2.9969003972969404
57, 7.764798477718621, 14.4, -6.635201522281379
58, 8.742989600237385, 8.9, -0.15701039976261555
59, -1.115182204450804, 2.9, -4.015182204450804
60, 22.61226068044013, 24.7, -2.0877393195598692
61, 8.090069636525396, 10.9, -2.8099303634746047
62, 7.788124457137295, 13.2, -5.411875542862704
63, -0.701171627905161, 3.9, -4.601171627905161
64, 14.214605217867694, 17.2, -2.985394782132305
65, 8.448873659329083, 10.4, -1.9511263406709176
66, 11.682853484714128, 9.9, 1.7828534847141277
67, 8.86464837354629, 8.9, -0.035351626453710594
68, 16.54568740374806, 22.0, -5.454312596251938
69, 10.339498281248126, 9.8, 0.5394982812481253
70, 14.150960775599684, 19.4, -5.249039224400315
71, 8.954343187162227, 11.3, -2.345656812837774
72, 15.862207009844667, 17.8, -1.9377929901553337
73, 11.28963373739358, 13.9, -2.610366262606421
74, 14.327921024212428, 16.9, -2.572078975787571
75, 32.576132778734326, 39.7, -7.123867221265677
76, 32.576132778734326, 39.7, -7.123867221265677
--,--,--,--
MD (kcal/mol), -1.699215894380149, , 
MAD (kcal/mol), 3.054333132119268, , 
RMSD (kcal/mol), 2.63095305644019, , 
AMAX (kcal/mol), 11.149569751970816, index, 10 
AMIN (kcal/mol), 0.035351626453710594, index, 67 
