System, Energy (Hartree)
C2H5, -79.14189783097889
C2H6, -79.8060892009165
C5H8, -195.2629964178096
CH2OH, -115.05989626241018
CH4, -40.50356050192251
H2, -1.1713859026736197
H2O, -76.43255582910365
H2S, -399.43672930664064
HS, -398.78906351089023
N2H, -110.01665850332292
N2H2, -110.62947908772571
NH, -55.220923837994974
NH2, -55.879041255822095
NH3, -56.55424100747855
O, -75.06925268143621
PH2, -342.53900453640654
PH3, -343.172628048489
RKT01, -461.3589608815471
RKT02, -76.9058664441389
RKT03, -40.988916775313186
RKT04, -116.23765123927527
RKT05, -116.21056583415947
RKT06, -1.665207781009976
RKT07, -132.29264470715702
RKT08, -500.692993316756
RKT09, -155.54286822191466
RKT10, -100.91034495515602
RKT11, -115.56043918934164
RKT12, -343.6743555079515
RKT13, -461.3412155688509
RKT14, -76.22822741777841
RKT15, -111.13043760507593
RKT16, -399.93779699825313
RKT17, -535.915506474492
RKT18, -95.69811710868412
RKT19, -135.0044620474755
RKT20, -135.6708608025624
RKT21, -96.36461058119025
RKT22, -195.21108304578064
c2h4, -78.5661810033489
c2h5_34, -79.14189124882814
c2h5ts, -79.06786565023361
c3h7, -118.44620724650646
c3h7ts, -118.39043382009541
ch3, -39.83320256925428
ch3cl, -500.15619843308923
ch3f, -139.7463490764434
ch3fclts, -599.8436028260944
ch3oh, -115.71715698390511
cl, -460.1929548257174
cl-, -460.32475776511194
clch3clcomp, -960.4979143320062
clch3clts, -960.4768566224784
clf, -560.0242908648308
co, -113.30555970698843
f, -99.74216478333796
f-, -99.85771668929925
f2, -199.535154552456
fch3clcomp1, -600.039743885894
fch3clcomp2, -600.085264587656
fch3clts, -600.0351259296057
fch3fcomp, -239.62542288352893
fch3fts, -239.60268419381416
h, -0.4999503034982283
hch3clts, -500.6482103680344
hcl, -460.85971793026573
hclhts, -461.3412155688515
hcn, -93.40768956342845
hcnts, -93.33261888166209
hco, -113.84789033273258
hcots, -113.8063312086625
hf, -100.45948251546845
hf2ts, -200.01686989775584
hfch3ts, -140.20664137385927
hfhts, -100.90901495072964
hn2, -110.01666378913323
hn2ts, -110.00098122716908
hnc, -93.38598696215408
hoch3fcomp1, -215.6245689353107
hoch3fcomp2, -215.56363961302634
hoch3fts, -215.54472141609858
n2, -109.51694423555993
n2o, -184.65821095780927
n2ohts, -185.13098384399638
oh, -75.74116946088357
oh-, -75.79650163257283
