Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 9.331972326929248, 17.7, -8.36802767307075
2, 65.0397972934303, 82.6, -17.560202706569697
3, 28.598244131100266, 42.1, -13.501755868899735
4, 28.598244131100266, 42.1, -13.501755868899735
5, 9.49228752871872, 17.8, -8.307712471281281
6, 9.49228752871872, 17.8, -8.307712471281281
7, 19.8743013959576, 30.5, -10.625698604042402
8, 46.357100875753346, 56.9, -10.542899124246652
9, -11.18480080401454, 1.5, -12.68480080401454
10, 88.58817242737436, 104.8, -16.211827572625637
11, -3.960467042542499, 7.1, -11.060467042542498
12, 45.756299938167764, 59.8, -14.043700061832233
13, -6.490147240236759, -0.6, -5.890147240236759
14, -6.490147240236759, -0.6, -5.890147240236759
15, 8.273500934897154, 13.4, -5.126499065102847
16, 8.273500934897154, 13.4, -5.126499065102847
17, -4.722147802243776, 2.5, -7.222147802243776
18, -4.722147802243776, 2.5, -7.222147802243776
19, 6.857165443148639, 13.5, -6.642834556851361
20, 6.857165443148639, 13.5, -6.642834556851361
21, -19.867087907496444, -12.3, -7.567087907496443
22, 15.18792723945484, 19.8, -4.612072760545161
23, -1.4059911872768929, 3.5, -4.905991187276893
24, 24.68897725086787, 29.6, -4.91102274913213
25, -8.303077261763686, -2.7, -5.603077261763686
26, 11.013307072359588, 17.6, -6.586692927640414
27, 5.589570871512929, 11.0, -5.410429128487071
28, 43.7257780218457, 47.7, -3.9742219781543042
29, 4.19395364607302, 14.6, -10.40604635392698
30, 9.656712301685573, 10.9, -1.2432876983144272
31, -3.742204001582362, 3.2, -6.942204001582362
32, 24.028057356837625, 22.8, 1.228057356837624
33, -4.483956635842647, 2.0, -6.483956635842647
34, 43.08201812455905, 42.0, 1.082018124559049
35, 0.6525654218129575, 6.4, -5.747434578187043
36, 30.778779616065666, 33.0, -2.221220383934334
37, 46.2088833046357, 48.1, -1.8911166953643033
38, 32.2695334739598, 33.0, -0.7304665260402032
39, -1.698800246364322, 6.1, -7.798800246364322
40, 0.6388932070617049, 8.0, -7.361106792938295
41, -1.8973708889492313, 5.2, -7.097370888949231
42, 10.955228261170355, 21.6, -10.644771738829647
43, 7.255345938672715, 11.9, -4.6446540613272855
44, 6.923306506665366, 15.0, -8.076693493334634
45, -1.4032296195721166, 6.3, -7.703229619572117
46, 11.781408962559276, 19.5, -7.718591037440724
47, 2.3993038729259943, 9.7, -7.300696127074005
48, 2.3993038729259943, 9.7, -7.300696127074005
49, -7.076504227451217, 3.4, -10.476504227451217
50, 3.3167316004507548, 13.7, -10.383268399549245
51, -2.9624636040352414, 1.8, -4.762463604035242
52, -0.9568095825715586, 6.8, -7.756809582571559
53, -4.562707645947541, 3.5, -8.06270764594754
54, 13.077377563488374, 20.4, -7.322622436511624
55, -7.480893607754907, 1.6, -9.080893607754907
56, 21.943797407192104, 33.8, -11.856202592807893
57, 2.1644391187120298, 14.4, -12.23556088128797
58, 3.446146752135706, 8.9, -5.453853247864295
59, -3.2375739375990347, 2.9, -6.137573937599035
60, 19.64690189912438, 24.7, -5.053098100875619
61, 3.2166506629792786, 10.9, -7.683349337020722
62, 2.266982461553616, 13.2, -10.933017538446384
63, -2.780395569954159, 3.9, -6.680395569954159
64, 11.579149409295333, 17.2, -5.620850590704666
65, -3.7398986930743865, 10.4, -14.139898693074386
66, -0.4525370382137796, 9.9, -10.35253703821378
67, 4.695885941541443, 8.9, -4.204114058458558
68, 12.32822682889383, 22.0, -9.67177317110617
69, 6.256389135905516, 9.8, -3.543610864094485
70, 9.43328339595784, 19.4, -9.966716604042158
71, 4.900983638076694, 11.3, -6.399016361923307
72, 12.147833019601721, 17.8, -5.652166980398279
73, 7.71690479707886, 13.9, -6.18309520292114
74, 10.508307551299364, 16.9, -6.391692448700635
75, 33.68267041185086, 39.7, -6.0173295881491455
76, 33.68267041185086, 39.7, -6.0173295881491455
--,--,--,--
MD (kcal/mol), -7.435409643723487, , 
MAD (kcal/mol), 7.496201103760241, , 
RMSD (kcal/mol), 3.380973867771772, , 
AMAX (kcal/mol), 17.560202706569697, index, 2 
AMIN (kcal/mol), 0.7304665260402032, index, 38 
