System, Energy (Hartree)
C2H5, -79.15244728318193
C2H6, -79.81645550925812
C5H8, -195.29075646280413
CH2OH, -115.0729895921788
CH4, -40.508731015506875
H2, -1.1717593119081018
H2O, -76.43771484709087
H2S, -399.4427057280836
HS, -398.7939515488634
N2H, -110.03708979290032
N2H2, -110.64245945300047
NH, -55.22477845439719
NH2, -55.88372397721334
NH3, -56.559280792882305
O, -75.07244439251075
PH2, -342.5459393143781
PH3, -343.181108151528
RKT01, -461.3668399353543
RKT02, -76.9203783207493
RKT03, -40.99781976546973
RKT04, -116.25656256011078
RKT05, -116.22782038532446
RKT06, -1.6680575189719722
RKT07, -132.31615327605746
RKT08, -500.7063545532127
RKT09, -155.56932200258706
RKT10, -100.92968367218756
RKT11, -115.57772615472636
RKT12, -343.68638929517454
RKT13, -461.34900580178737
RKT14, -76.24059103790901
RKT15, -111.15307974581604
RKT16, -399.9472583116262
RKT17, -535.942415284119
RKT18, -95.71386318990598
RKT19, -135.02620106967385
RKT20, -135.69236927189996
RKT21, -96.38015732214146
RKT22, -195.23707971081222
c2h4, -78.57651275332252
c2h5_34, -79.15243570024857
c2h5ts, -79.08378013422882
c3h7, -118.46214451485322
c3h7ts, -118.41309540740824
ch3, -39.83762258328007
ch3cl, -500.16653581855485
ch3f, -139.75982941290908
ch3fclts, -599.883010872126
ch3oh, -115.72941311345329
cl, -460.19609876457946
cl-, -460.327952438054
clch3clcomp, -960.5129410668436
clch3clts, -960.5020134781353
clf, -560.0390768828731
co, -113.31714553718886
f, -99.7460027974713
f-, -99.86538230987358
f2, -199.55141430084484
fch3clcomp1, -600.0613377587022
fch3clcomp2, -600.1029227379204
fch3clts, -600.0635783482795
fch3fcomp, -239.64873909373938
fch3fts, -239.6355544307552
h, -0.500121741165102
hch3clts, -500.66362621887635
hcl, -460.8640109836743
hclhts, -461.34900580178714
hcn, -93.41870173703458
hcnts, -93.34506319416855
hco, -113.8615220067784
hcots, -113.82323086003083
hf, -100.46453159811786
hf2ts, -200.06936015665093
hfch3ts, -140.22827943879747
hfhts, -100.91907913632164
hn2, -110.03708654872393
hn2ts, -110.02169759811709
hnc, -93.39648796910464
hoch3fcomp1, -215.64692606406075
hoch3fcomp2, -215.58615214951982
hoch3fts, -215.57724460134318
n2, -109.52825934751176
n2o, -184.68495689225705
n2ohts, -185.17020718890592
oh, -75.74559535586482
oh-, -75.80418339257291
