Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 33.94499286211118, 17.7, 16.24499286211118
2, 89.65281782861223, 82.6, 7.052817828612234
3, 34.913615938809336, 42.1, -7.186384061190665
4, 34.913615938809336, 42.1, -7.186384061190665
5, 14.380732500986731, 17.8, -3.4192674990132694
6, 14.380732500986731, 17.8, -3.4192674990132694
7, 33.45239214507081, 30.5, 2.95239214507081
8, 59.935191624866555, 56.9, 3.035191624866556
9, 21.75333394867751, 1.5, 20.25333394867751
10, 121.52630718006641, 104.8, 16.726307180066414
11, 20.768455196570343, 7.1, 13.668455196570344
12, 70.4852221772806, 59.8, 10.685222177280608
13, 14.13623785496999, -0.6, 14.736237854969989
14, 14.13623785496999, -0.6, 14.736237854969989
15, 28.899886030103904, 13.4, 15.499886030103903
16, 28.899886030103904, 13.4, 15.499886030103903
17, 11.064017460072625, 2.5, 8.564017460072625
18, 11.064017460072625, 2.5, 8.564017460072625
19, 22.64333070546504, 13.5, 9.14333070546504
20, 22.64333070546504, 13.5, 9.14333070546504
21, -2.012925629646458, -12.3, 10.287074370353542
22, 33.04208951730483, 19.8, 13.24208951730483
23, 16.448171090573094, 3.5, 12.948171090573094
24, 42.54313952871786, 29.6, 12.943139528717857
25, 12.105529605930268, -2.7, 14.805529605930268
26, 31.421913940053543, 17.6, 13.821913940053541
27, 25.998177739206884, 11.0, 14.998177739206884
28, 64.13438488953966, 47.7, 16.434384889539658
29, 17.19367268415298, 14.6, 2.5936726841529794
30, 22.656431339765533, 10.9, 11.756431339765532
31, 6.862487340409853, 3.2, 3.662487340409853
32, 34.632748698829836, 22.8, 11.832748698829835
33, 5.502532845972379, 2.0, 3.502532845972379
34, 53.06850760637408, 42.0, 11.068507606374077
35, 14.872926157917965, 6.4, 8.472926157917964
36, 44.99914035217067, 33.0, 11.99914035217067
37, 54.01780730064081, 48.1, 5.91780730064081
38, 40.07845746996491, 33.0, 7.07845746996491
39, 3.2453806642981786, 6.1, -2.854619335701821
40, 5.583074117724205, 8.0, -2.4169258822757946
41, 7.208969170510256, 5.2, 2.008969170510256
42, 20.061568320629842, 21.6, -1.5384316793701593
43, 12.842056609393255, 11.9, 0.942056609393255
44, 12.510017177385906, 15.0, -2.4899828226140936
45, 10.463803371758862, 6.3, 4.1638033717588625
46, 23.648441953890256, 19.5, 4.148441953890256
47, 4.187541442675802, 9.7, -5.512458557324197
48, 4.187541442675802, 9.7, -5.512458557324197
49, 7.675345479238531, 3.4, 4.275345479238531
50, 18.0685813071405, 13.7, 4.368581307140502
51, 5.421838857751392, 1.8, 3.621838857751392
52, 7.427492879215075, 6.8, 0.6274928792150751
53, 12.037290350768274, 3.5, 8.537290350768274
54, 29.67737556020419, 20.4, 9.277375560204192
55, 4.654334545763928, 1.6, 3.0543345457639277
56, 34.07902556071094, 33.8, 0.27902556071094153
57, 13.012173675428421, 14.4, -1.387826324571579
58, 14.293881308852097, 8.9, 5.393881308852096
59, 4.3137415537304955, 2.9, 1.4137415537304956
60, 27.198217390453912, 24.7, 2.498217390453913
61, 10.974939428647412, 10.9, 0.07493942864741143
62, 10.025271227221749, 13.2, -3.1747287727782503
63, 3.156668208706466, 3.9, -0.7433317912935338
64, 17.51621318795596, 17.2, 0.31621318795595954
65, 13.145634283628812, 10.4, 2.745634283628812
66, 16.43299593848942, 9.9, 6.532995938489419
67, 14.576701087626873, 8.9, 5.676701087626872
68, 22.20904197497926, 22.0, 0.2090419749792609
69, 19.897831522234974, 9.8, 10.097831522234973
70, 23.074725782287295, 19.4, 3.6747257822872967
71, 18.397751919991297, 11.3, 7.097751919991296
72, 25.644601301516325, 17.8, 7.844601301516324
73, 17.47263203476623, 13.9, 3.5726320347662313
74, 20.264034788986738, 16.9, 3.3640347889867392
75, 49.99582401321392, 39.7, 10.295824013213917
76, 49.99582401321392, 39.7, 10.295824013213917
--,--,--,--
MD (kcal/mol), 5.966288550994953, , 
MAD (kcal/mol), 7.198974520564991, , 
RMSD (kcal/mol), 5.043055938847999, , 
AMAX (kcal/mol), 20.25333394867751, index, 9 
AMIN (kcal/mol), 0.07493942864741143, index, 61 
