System, Energy (Hartree)
h, -0.500121741165102
n2o, -184.68495689225705
n2ohts, -185.13098384399638
n2, -109.52825934751176
oh, -75.74559535586482
hf, -100.46453159811786
hfhts, -100.90901495072964
hcl, -460.8640109836743
hclhts, -461.3412155688515
ch3f, -139.75982941290908
hfch3ts, -140.20664137385927
ch3, -39.83762258328007
f2, -199.55141430084484
hf2ts, -200.01686989775584
f, -99.7460027974713
ch3fclts, -599.8436028260944
clf, -560.0390768828731
cl, -460.19609876457946
f-, -99.86538230987358
fch3fts, -239.60268419381416
fch3fcomp, -239.64873909373938
ch3cl, -500.16653581855485
cl-, -460.327952438054
clch3clts, -960.4768566224784
clch3clcomp, -960.5129410668436
fch3clts, -600.0351259296057
fch3clcomp1, -600.0613377587022
fch3clcomp2, -600.1029227379204
hoch3fts, -215.54472141609858
oh-, -75.80418339257291
ch3oh, -115.72941311345329
hoch3fcomp2, -215.58615214951982
hoch3fcomp1, -215.64692606406075
hn2ts, -110.00098122716908
hn2, -110.03708654872393
co, -113.31714553718886
hcots, -113.8063312086625
hco, -113.8615220067784
c2h4, -78.57651275332252
c2h5ts, -79.06786565023361
c2h5_34, -79.15243570024857
c3h7ts, -118.39043382009541
c3h7, -118.46214451485322
hcn, -93.41870173703458
hcnts, -93.33261888166209
hnc, -93.39648796910464
RKT01, -461.3589608815471
H2, -1.1717593119081018
RKT02, -76.9058664441389
H2O, -76.43771484709087
RKT03, -40.988916775313186
CH4, -40.508731015506875
RKT04, -116.23765123927527
RKT06, -1.665207781009976
NH3, -56.559280792882305
RKT07, -132.29264470715702
NH2, -55.88372397721334
RKT08, -500.692993316756
C2H6, -79.81645550925812
RKT09, -155.54286822191466
C2H5, -79.15244728318193
RKT10, -100.91034495515602
O, -75.07244439251075
RKT11, -115.56043918934164
PH3, -343.181108151528
RKT12, -343.6743555079515
PH2, -342.5459393143781
RKT14, -76.22822741777841
H2S, -399.4427057280836
RKT16, -399.93779699825313
HS, -398.7939515488634
RKT17, -535.915506474492
RKT18, -95.69811710868412
NH, -55.22477845439719
RKT19, -135.0044620474755
RKT20, -135.6708608025624
RKT21, -96.36461058119025
C5H8, -195.29075646280413
RKT22, -195.21108304578064
