Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 19.015427532075975, 17.7, 1.3154275320759758
2, 79.63637028656748, 82.6, -2.9636297134325105
3, 31.890992342882654, 42.1, -10.209007657117347
4, 31.890992342882654, 42.1, -10.209007657117347
5, 12.53818230362095, 17.8, -5.261817696379051
6, 12.53818230362095, 17.8, -5.261817696379051
7, 23.87076942571564, 30.5, -6.62923057428436
8, 54.322658821568325, 56.9, -2.5773411784316735
9, 14.661905728740795, 1.5, 13.161905728740795
10, 118.5761564589922, 104.8, 13.776156458992205
11, 10.48599232677187, 7.1, 3.38599232677187
12, 61.28756510454909, 59.8, 1.4875651045490912
13, 1.0858443818579222, -0.6, 1.685844381857922
14, 1.0858443818579222, -0.6, 1.685844381857922
15, 14.240342198164038, 13.4, 0.8403421981640378
16, 14.240342198164038, 13.4, 0.8403421981640378
17, 3.3939140115052138, 2.5, 0.8939140115052138
18, 3.3939140115052138, 2.5, 0.8939140115052138
19, 13.586053845162914, 13.5, 0.08605384516291359
20, 13.586053845162914, 13.5, 0.08605384516291359
21, -12.263396272357822, -12.3, 0.036603727642178896
22, 22.73399710486656, 19.8, 2.9339971048665596
23, 3.2882648494758975, 3.5, -0.21173515052410252
24, 31.413117254370377, 29.6, 1.8131172543703755
25, -0.906989559418168, -2.7, 1.7930104405818321
26, 19.186690464623734, 17.6, 1.5866904646237323
27, 11.866255066410593, 11.0, 0.8662550664105932
28, 49.85594512821821, 47.7, 2.1559451282182067
29, 11.822395821749847, 14.6, -2.7776041782501526
30, 9.59654875723525, 10.9, -1.3034512427647496
31, -0.24194798371252804, 3.2, -3.441947983712528
32, 25.690776725354873, 22.8, 2.890776725354872
33, -0.1881198469100043, 2.0, -2.1881198469100043
34, 46.28142662680303, 42.0, 4.281426626803032
35, 6.811973522633529, 6.4, 0.41197352263352904
36, 34.64616532958764, 33.0, 1.6461653295876388
37, 47.6498814341262, 48.1, -0.45011856587380095
38, 33.32038445442478, 33.0, 0.3203844544247829
39, 2.247945818446953, 6.1, -3.8520541815530467
40, 4.45365816031672, 8.0, -3.54634183968328
41, 4.973359427829922, 5.2, -0.22664057217007816
42, 18.535176938026684, 21.6, -3.0648230619733177
43, 10.205909988593179, 11.9, -1.6940900114068214
44, 9.529683108835044, 15.0, -5.470316891164956
45, 5.5350955307016685, 6.3, -0.7649044692983313
46, 19.773139920661023, 19.5, 0.27313992066102344
47, 3.9488553064576033, 9.7, -5.751144693542396
48, 3.9488553064576033, 9.7, -5.751144693542396
49, 3.211723345411235, 3.4, -0.18827665458876508
50, 13.69925815684122, 13.7, -0.0007418431587797869
51, 0.22210066559825925, 1.8, -1.577899334401741
52, 1.7515861276966551, 6.8, -5.048413872303344
53, 3.651034818296383, 3.5, 0.1510348182963832
54, 21.90346700812732, 20.4, 1.5034670081273198
55, 2.495364759220632, 1.6, 0.895364759220632
56, 32.560678383001026, 33.8, -1.2393216169989714
57, 8.317322863461904, 14.4, -6.082677136538097
58, 9.236758890929531, 8.9, 0.3367588909295307
59, -1.0130430861026587, 2.9, -3.9130430861026584
60, 23.483243922159172, 24.7, -1.2167560778408273
61, 8.137895821016622, 10.9, -2.7621041789833782
62, 7.89468667331145, 13.2, -5.305313326688549
63, -0.5079470129523063, 3.9, -4.407947012952306
64, 14.53324382899054, 17.2, -2.6667561710094585
65, 8.755118465788595, 10.4, -1.6448815342114056
66, 11.2040399553457, 9.9, 1.304039955345699
67, 9.107319344781938, 8.9, 0.20731934478193814
68, 17.071292243250095, 22.0, -4.928707756749905
69, 10.595763510195601, 9.8, 0.7957635101956004
70, 14.545348608778797, 19.4, -4.854651391221202
71, 9.823654919231238, 11.3, -1.4763450807687626
72, 17.58855229763219, 17.8, -0.21144770236780985
73, 12.218759718838445, 13.9, -1.6812402811615552
74, 15.969269297367813, 16.9, -0.9307307026321858
75, 31.67880285925623, 39.7, -8.021197140743773
76, 31.67880285925623, 39.7, -8.021197140743773
--,--,--,--
MD (kcal/mol), -1.0979387963170126, , 
MAD (kcal/mol), 2.8437964299376866, , 
RMSD (kcal/mol), 2.918983789023917, , 
AMAX (kcal/mol), 13.776156458992205, index, 10 
AMIN (kcal/mol), 0.0007418431587797869, index, 50 
