System, Energy (Hartree)
C2H5, -79.12881141478641
C2H6, -79.79277204416755
C5H8, -195.23262651964242
CH2OH, -115.04343056564733
CH4, -40.49730828588325
H2, -1.1713859026724918
H2O, -76.42325271073783
H2S, -399.37746789188003
HS, -398.73000195555153
N2H, -110.00236343779248
N2H2, -110.61668290823616
NH, -55.213641571056456
NH2, -55.8713081359464
NH3, -56.547642916952896
O, -75.05838180105306
PH2, -342.48717426194355
PH3, -343.1195725434284
RKT01, -461.28931365311587
RKT02, -76.89366532911693
RKT03, -40.982072072175214
RKT04, -116.21869252886657
RKT05, -116.19298912209086
RKT06, -1.6650433041735493
RKT07, -132.27272968919087
RKT08, -500.6195420622024
RKT09, -155.51715872901076
RKT10, -100.89461310935367
RKT11, -115.54243558926377
RKT12, -343.62113723334124
RKT13, -461.27291511745875
RKT14, -76.21718671969325
RKT15, -111.11577185992955
RKT16, -399.8782276599646
RKT17, -535.8373753114887
RKT18, -95.68374502107848
RKT19, -134.98323412677007
RKT20, -135.64842518951178
RKT21, -96.34914458877552
RKT22, -195.18214313386318
c2h4, -78.55480032400112
c2h5_34, -79.1288045630626
c2h5ts, -79.05505041505407
c3h7, -118.42610725441322
c3h7ts, -118.37089507553526
ch3, -39.826950322332976
ch3cl, -500.0822131539767
ch3f, -139.72502339485933
ch3fclts, -599.7523805494897
ch3oh, -115.69964152941742
cl, -460.1250251064904
cl-, -460.25773904088214
clch3clcomp, -960.3561944035504
clch3clts, -960.3345436486109
clf, -559.9421407196037
co, -113.29114085019039
f, -99.7272038235489
f-, -99.8447773853652
f2, -199.5082071714403
fch3clcomp1, -599.9517736888633
fch3clcomp2, -599.9965934940892
fch3clts, -599.9465335052719
fch3fcomp, -239.59076380685605
fch3fts, -239.56807037705656
h, -0.4999503029944632
hch3clts, -500.57280567120546
hcl, -460.7929456798094
hclhts, -461.27291511745943
hcn, -93.39782715747077
hcnts, -93.32189223791394
hco, -113.83241758056316
hcots, -113.79147672183953
hf, -100.44655155024091
hf2ts, -199.98479224038687
hfch3ts, -140.18693320537938
hfhts, -100.89568032198997
hn2, -110.00236902369834
hn2ts, -109.98707594980242
hnc, -93.37499165048325
hoch3fcomp1, -215.5932934831059
hoch3fcomp2, -215.53275305840788
hoch3fts, -215.51384297727463
n2, -109.50596583378585
n2o, -184.63961488844524
n2ohts, -185.10926217878722
oh, -75.73020497917852
oh-, -75.78737420254949
