Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 10.354958131854465, 17.7, -7.345041868145534
2, 63.58192101438335, 82.6, -19.018078985616647
3, 28.970427382137874, 42.1, -13.129572617862127
4, 28.970427382137874, 42.1, -13.129572617862127
5, 9.70292161088247, 17.8, -8.09707838911753
6, 9.70292161088247, 17.8, -8.09707838911753
7, 19.171672792549177, 30.5, -11.328327207450823
8, 46.90259589250547, 56.9, -9.997404107494532
9, -9.487517228406771, 1.5, -10.987517228406771
10, 89.95965223162139, 104.8, -14.840347768378606
11, -3.219393295406038, 7.1, -10.319393295406037
12, 45.64533838647977, 59.8, -14.154661613520226
13, -5.69101271242543, -0.6, -5.091012712425431
14, -5.69101271242543, -0.6, -5.091012712425431
15, 8.690345705484939, 13.4, -4.709654294515062
16, 8.690345705484939, 13.4, -4.709654294515062
17, -3.1920631613630728, 2.5, -5.692063161363073
18, -3.1920631613630728, 2.5, -5.692063161363073
19, 7.92537101433059, 13.5, -5.57462898566941
20, 7.92537101433059, 13.5, -5.57462898566941
21, -18.402094374835873, -12.3, -6.102094374835872
22, 15.404952611912787, 19.8, -4.395047388087214
23, -0.599380187033397, 3.5, -4.099380187033397
24, 24.614640364665593, 29.6, -4.985359635334408
25, -7.485710818095188, -2.7, -4.785710818095188
26, 12.164284256473477, 17.6, -5.435715743526524
27, 6.0311410005562385, 11.0, -4.9688589994437615
28, 44.462259031623724, 47.7, -3.2377409683762792
29, 4.619814355427479, 14.6, -9.98018564457252
30, 9.173539584215154, 10.9, -1.726460415784846
31, -3.3463302883213455, 3.2, -6.546330288321346
32, 23.751487214799177, 22.8, 0.951487214799176
33, -3.174101783696967, 2.0, -5.174101783696967
34, 42.89544450434407, 42.0, 0.89544450434407
35, 2.496150980339738, 6.4, -3.9038490196602624
36, 31.152195941586992, 33.0, -1.8478040584130078
37, 46.202888049611545, 48.1, -1.8971119503884566
38, 31.841787061612806, 33.0, -1.1582129383871944
39, -0.4062501144742616, 6.1, -6.506250114474261
40, 1.250309150319008, 8.0, -6.7496908496809915
41, -1.311235380630631, 5.2, -6.511235380630631
42, 12.505359617323316, 21.6, -9.094640382676685
43, 7.670845920442449, 11.9, -4.229154079557551
44, 7.846163816080805, 15.0, -7.153836183919195
45, -0.6867578223920953, 6.3, -6.986757822392095
46, 12.954519279927954, 19.5, -6.545480720072046
47, 2.5392228681521845, 9.7, -7.160777131847815
48, 2.5392228681521845, 9.7, -7.160777131847815
49, -6.451655032217489, 3.4, -9.851655032217488
50, 4.149949314798223, 13.7, -9.550050685201775
51, -2.6654682009990402, 1.8, -4.46546820099904
52, -0.8335910405655333, 6.8, -7.633591040565533
53, -4.026643210250048, 3.5, -7.526643210250048
54, 14.245070153163402, 20.4, -6.1549298468365965
55, -6.9737638827831745, 1.6, -8.573763882783174
56, 23.718619993770588, 33.8, -10.08138000622941
57, 3.005329114805908, 14.4, -11.394670885194092
58, 3.731911702692542, 8.9, -5.168088297307458
59, -3.194717144498258, 2.9, -6.094717144498258
60, 20.21819322784672, 24.7, -4.481806772153281
61, 3.1838143025737873, 10.9, -7.716185697426213
62, 2.2819138190558332, 13.2, -10.918086180944165
63, -2.541757726420491, 3.9, -6.441757726420491
64, 11.628867294171707, 17.2, -5.571132705828292
65, -3.7376977962481854, 10.4, -14.137697796248187
66, -1.1792380479547968, 9.9, -11.079238047954798
67, 4.838982565896161, 8.9, -4.06101743410384
68, 13.29182640184784, 22.0, -8.70817359815216
69, 6.375685303151048, 9.8, -3.4243146968489526
70, 10.198092878013787, 19.4, -9.201907121986212
71, 5.527072243470068, 11.3, -5.772927756529933
72, 13.197181259858889, 17.8, -4.602818740141112
73, 8.537531217901307, 13.9, -5.362468782098693
74, 11.577203973196728, 16.9, -5.322796026803271
75, 33.141218580795474, 39.7, -6.558781419204529
76, 33.141218580795474, 39.7, -6.558781419204529
--,--,--,--
MD (kcal/mol), -6.91433256371538, , 
MAD (kcal/mol), 6.962936030008623, , 
RMSD (kcal/mol), 3.394869521449051, , 
AMAX (kcal/mol), 19.018078985616647, index, 2 
AMIN (kcal/mol), 0.89544450434407, index, 34 
