System, Energy (Hartree)
C2H5, -79.13993125602236
C2H6, -79.80446914435277
C5H8, -195.26392117423754
CH2OH, -115.05607677603504
CH4, -40.503135940794785
H2, -1.1717593119608298
H2O, -76.4281385032118
H2S, -399.38386989652906
HS, -398.7348146535717
N2H, -110.02392442174049
N2H2, -110.6296753459242
NH, -55.217294769370845
NH2, -55.87574126349471
NH3, -56.552502248580495
O, -75.06140794492771
PH2, -342.49429612839276
PH3, -343.1286228521265
RKT01, -461.29797775336436
RKT02, -76.90833168474579
RKT03, -40.990754023455885
RKT04, -116.23871314524516
RKT05, -116.21023662043294
RKT06, -1.6678345433460233
RKT07, -132.2972664015123
RKT08, -500.6326752885384
RKT09, -155.5453687949588
RKT10, -100.91377331754713
RKT11, -115.55975458892455
RKT12, -343.6338356985592
RKT13, -461.2818677627695
RKT14, -76.22953079574592
RKT15, -111.1399670772905
RKT16, -399.8880421858944
RKT17, -535.8645729575088
RKT18, -95.69924883650278
RKT19, -135.00551221825202
RKT20, -135.67140245757435
RKT21, -96.36527178226675
RKT22, -195.21110728066202
c2h4, -78.56638080256032
c2h5_34, -79.13991903835476
c2h5ts, -79.0715607963244
c3h7, -118.44326609958945
c3h7ts, -118.39362191535128
ch3, -39.831218982581795
ch3cl, -500.09320268890315
ch3f, -139.73835480693393
ch3fclts, -599.7938252659226
ch3oh, -115.71208255463551
cl, -460.12821093586297
cl-, -460.2609522913407
clch3clcomp, -960.3718717393291
clch3clts, -960.3592418566868
clf, -559.9574758535568
co, -113.30310586882625
f, -99.73090060543693
f-, -99.85222945069093
f2, -199.52374931648745
fch3clcomp1, -599.9738025705177
fch3clcomp2, -600.0139836699176
fch3clts, -599.9747577436455
fch3fcomp, -239.61350241107488
fch3fts, -239.59965346366502
h, -0.5001217405983708
hch3clts, -500.5891625373699
hcl, -460.7972086119995
hclhts, -461.2818677627695
hcn, -93.40852108924223
hcnts, -93.33489210042322
hco, -113.84641073035452
hcots, -113.80856032618291
hf, -100.45144960386968
hf2ts, -200.03899037818064
hfch3ts, -140.2079245422081
hfhts, -100.90540402974281
hn2, -110.02392038875207
hn2ts, -110.00930142288242
hnc, -93.38563521806165
hoch3fcomp1, -215.615782104361
hoch3fcomp2, -215.55453821941654
hoch3fts, -215.54492698444744
n2, -109.51654182508248
n2o, -184.6660803061106
n2ohts, -185.14970037054331
oh, -75.7344827861973
oh-, -75.79464293799204
