Reaction index, Energy (kcal/mol), Ref (kcal/mol), Error (kcal/mol)
1, 35.730306572782865, 17.7, 18.030306572782866
2, 88.95726945531175, 82.6, 6.3572694553117515
3, 35.07214612006565, 42.1, -7.027853879934348
4, 35.07214612006565, 42.1, -7.027853879934348
5, 15.320791360862597, 17.8, -2.479208639137404
6, 15.320791360862597, 17.8, -2.479208639137404
7, 32.34393552582528, 30.5, 1.8439355258252803
8, 60.07485862578157, 56.9, 3.1748586257815745
9, 24.522327713762536, 1.5, 23.022327713762536
10, 123.9694971737907, 104.8, 19.169497173790703
11, 22.787558916108267, 7.1, 15.687558916108268
12, 71.65229059799408, 59.8, 11.852290597994084
13, 14.127673354539649, -0.6, 14.727673354539649
14, 14.127673354539649, -0.6, 14.727673354539649
15, 28.50903177245002, 13.4, 15.109031772450018
16, 28.50903177245002, 13.4, 15.109031772450018
17, 12.306296398682981, 2.5, 9.806296398682981
18, 12.306296398682981, 2.5, 9.806296398682981
19, 23.423730574376645, 13.5, 9.923730574376645
20, 23.423730574376645, 13.5, 9.923730574376645
21, -0.6911173971991301, -12.3, 11.60888260280087
22, 33.11592958954953, 19.8, 13.31592958954953
23, 17.111596790603347, 3.5, 13.611596790603347
24, 42.32561734230234, 29.6, 12.725617342302336
25, 12.019798174685798, -2.7, 14.719798174685799
26, 31.669793249254464, 17.6, 14.069793249254463
27, 25.536649993337225, 11.0, 14.536649993337225
28, 63.96776802440471, 47.7, 16.26776802440471
29, 18.56650927866017, 14.6, 3.966509278660171
30, 23.120234507447847, 10.9, 12.220234507447847
31, 7.373793288296707, 3.2, 4.173793288296707
32, 34.471610791417234, 22.8, 11.671610791417233
33, 7.186318883832365, 2.0, 5.186318883832365
34, 53.2558651718734, 42.0, 11.255865171873403
35, 16.75745828040343, 6.4, 10.35745828040343
36, 45.41350324165068, 33.0, 12.41350324165068
37, 54.36042493569892, 48.1, 6.2604249356989214
38, 39.99932394770019, 33.0, 6.999323947700191
39, 5.0305548756886, 6.1, -1.0694451243113994
40, 6.68711414048187, 8.0, -1.31288585951813
41, 7.892041726457999, 5.2, 2.692041726457999
42, 21.708636724411946, 21.6, 0.10863672441194439
43, 13.118852602417554, 11.9, 1.218852602417554
44, 13.29417049805591, 15.0, -1.7058295019440894
45, 11.876368631753767, 6.3, 5.576368631753767
46, 25.517645734073817, 19.5, 6.017645734073817
47, 4.290751893255564, 9.7, -5.409248106744435
48, 4.290751893255564, 9.7, -5.409248106744435
49, 8.945364411842707, 3.4, 5.545364411842707
50, 19.54696875885842, 13.7, 5.84696875885842
51, 5.5757557498434025, 1.8, 3.7757557498434027
52, 7.4076329102769085, 6.8, 0.6076329102769087
53, 13.675440436082768, 3.5, 10.175440436082768
54, 31.94715379949622, 20.4, 11.547153799496222
55, 5.049448283630261, 1.6, 3.4494482836302613
56, 35.741832160184025, 33.8, 1.9418321601840276
57, 13.873165483235937, 14.4, -0.5268345167640636
58, 14.599748071122571, 8.9, 5.6997480711225705
59, 4.773690085835461, 2.9, 1.8736900858354608
60, 28.186600458180436, 24.7, 3.486600458180437
61, 10.929838974179415, 10.9, 0.02983897417941428
62, 10.02793849066146, 13.2, -3.1720615093385387
63, 3.6169502779741376, 3.9, -0.2830497220258623
64, 17.787575298566335, 17.2, 0.5875752985663354
65, 13.329082753586125, 10.4, 2.9290827535861244
66, 15.887542501879514, 9.9, 5.987542501879513
67, 14.567773628766766, 8.9, 5.667773628766765
68, 23.020617464718445, 22.0, 1.0206174647184447
69, 20.355398772118697, 9.8, 10.555398772118696
70, 24.177806346981438, 19.4, 4.777806346981439
71, 19.94552564081387, 11.3, 8.645525640813869
72, 27.61563465720269, 17.8, 9.81563465720269
73, 18.657497923695704, 13.9, 4.757497923695704
74, 21.697170678991128, 16.9, 4.7971706789911295
75, 51.31649510522177, 39.7, 11.616495105221766
76, 51.31649510522177, 39.7, 11.616495105221766
--,--,--,--
MD (kcal/mol), 6.6854933524506865, , 
MAD (kcal/mol), 7.682933549438441, , 
RMSD (kcal/mol), 5.3426008967652, , 
AMAX (kcal/mol), 23.022327713762536, index, 9 
AMIN (kcal/mol), 0.02983897417941428, index, 61 
