System, Energy (Hartree)
h, -0.5001217405983708
n2o, -184.6660803061106
n2ohts, -185.10926217878722
n2, -109.51654182508248
oh, -75.7344827861973
hf, -100.45144960386968
hfhts, -100.89568032198997
hcl, -460.7972086119995
hclhts, -461.27291511745943
ch3f, -139.73835480693393
hfch3ts, -140.18693320537938
ch3, -39.831218982581795
f2, -199.52374931648745
hf2ts, -199.98479224038687
f, -99.73090060543693
ch3fclts, -599.7523805494897
clf, -559.9574758535568
cl, -460.12821093586297
f-, -99.85222945069093
fch3fts, -239.56807037705656
fch3fcomp, -239.61350241107488
ch3cl, -500.09320268890315
cl-, -460.2609522913407
clch3clts, -960.3345436486109
clch3clcomp, -960.3718717393291
fch3clts, -599.9465335052719
fch3clcomp1, -599.9738025705177
fch3clcomp2, -600.0139836699176
hoch3fts, -215.51384297727463
oh-, -75.79464293799204
ch3oh, -115.71208255463551
hoch3fcomp2, -215.55453821941654
hoch3fcomp1, -215.615782104361
hn2ts, -109.98707594980242
hn2, -110.02392038875207
co, -113.30310586882625
hcots, -113.79147672183953
hco, -113.84641073035452
c2h4, -78.56638080256032
c2h5ts, -79.05505041505407
c2h5_34, -79.13991903835476
c3h7ts, -118.37089507553526
c3h7, -118.44326609958945
hcn, -93.40852108924223
hcnts, -93.32189223791394
hnc, -93.38563521806165
RKT01, -461.28931365311587
H2, -1.1717593119608298
RKT02, -76.89366532911693
H2O, -76.4281385032118
RKT03, -40.982072072175214
CH4, -40.503135940794785
RKT04, -116.21869252886657
RKT06, -1.6650433041735493
NH3, -56.552502248580495
RKT07, -132.27272968919087
NH2, -55.87574126349471
RKT08, -500.6195420622024
C2H6, -79.80446914435277
RKT09, -155.51715872901076
C2H5, -79.13993125602236
RKT10, -100.89461310935367
O, -75.06140794492771
RKT11, -115.54243558926377
PH3, -343.1286228521265
RKT12, -343.62113723334124
PH2, -342.49429612839276
RKT14, -76.21718671969325
H2S, -399.38386989652906
RKT16, -399.8782276599646
HS, -398.7348146535717
RKT17, -535.8373753114887
RKT18, -95.68374502107848
NH, -55.217294769370845
RKT19, -134.98323412677007
RKT20, -135.64842518951178
RKT21, -96.34914458877552
C5H8, -195.26392117423754
RKT22, -195.18214313386318
